"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output tpcc-sconekv-80-1024-3072-512000-1-0-20210415-133216-0.csv 1 600",,,,"Date:","15 Apr 2021 13:32:18 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
15-04 13:33:21,62.755,15.306,20.918,0.765,0.255,4619890688,26435031040,83918848,2397229056,0,20320256,2150034,1275274
15-04 13:33:22,61.499,12.661,25.581,0,0.258,4623695872,26430316544,83918848,2398121984,0,0,1867222,1088708
15-04 13:33:23,58.701,14.026,27.013,0,0.260,4628119552,26425327616,83918848,2398674944,0,0,1839249,1032429
15-04 13:33:24,62.821,14.615,22.308,0,0.256,4636073984,26416156672,83918848,2399854592,0,0,2091441,1253153
15-04 13:33:25,58.629,12.944,28.173,0,0.254,4640026624,26411581440,83918848,2400464896,0,32768,1850124,1128740
15-04 13:33:26,59.383,13.882,26.221,0,0.514,4644630528,26406141952,83918848,2401292288,0,0,2126091,1194520
15-04 13:33:27,62.500,15.816,21.173,0.255,0.255,4652404736,26397335552,83918848,2402287616,0,14917632,2047165,1193116
15-04 13:33:28,60.614,15.857,23.274,0,0.256,4655849472,26392879104,83918848,2403274752,0,0,2154850,1250253
15-04 13:33:29,57.292,14.844,27.604,0,0.260,4664299520,26383589376,83918848,2404098048,0,0,1819152,1110537
15-04 13:33:30,60.052,11.598,28.093,0,0.258,4673736704,26373267456,83922944,2404933632,0,40960,1937356,1111097
15-04 13:33:31,62.121,14.899,22.727,0,0.253,4673576960,26372501504,83922944,2405838848,0,0,2074137,1256174
15-04 13:33:32,64.359,13.590,21.282,0.513,0.256,4685787136,26359500800,83922944,2406604800,0,10133504,2181811,1255594
15-04 13:33:33,61.869,13.131,24.747,0,0.253,4689047552,26355142656,83922944,2407682048,0,0,2013220,1179428
15-04 13:33:34,62.755,13.776,23.214,0,0.255,4693311488,26349879296,83922944,2408656896,0,0,2138025,1241418
15-04 13:33:35,62.944,14.467,22.335,0,0.254,4701290496,26340929536,83927040,2409578496,0,28672,2212546,1253636
15-04 13:33:36,59.391,13.959,26.396,0,0.254,4705361920,26335903744,83927040,2410512384,0,0,2059743,1202432
15-04 13:33:37,63.359,12.468,23.155,0.509,0.509,4713742336,26326540288,83927040,2411470848,0,19116032,2321234,1272074
15-04 13:33:38,59.949,14.796,25,0,0.255,4721905664,26317381632,83927040,2412437504,0,0,2097775,1174046
15-04 13:33:39,60.453,13.602,25.441,0,0.504,4721602560,26316701696,83927040,2413400064,0,0,2071162,1221616
15-04 13:33:40,59.375,14.323,25.781,0,0.521,4729450496,26307874816,83931136,2414354432,0,40960,2112530,1206570
15-04 13:33:41,47.938,10.567,41.237,0,0.258,4737474560,26299367424,83931136,2414829568,0,0,1259136,767883
15-04 13:33:42,12.469,4.489,82.793,0,0.249,4737486848,26299334656,83931136,2414845952,0,0,227129,182476
15-04 13:33:43,57.576,14.899,27.273,0,0.253,4737228800,26298626048,83931136,2415783936,0,0,1994621,1179638
15-04 13:33:44,55.181,11.917,32.642,0,0.259,4748845056,26286931968,83931136,2415861760,0,0,1556754,956830
15-04 13:33:45,25.581,7.752,66.408,0,0.258,4748111872,26286981120,83931136,2416533504,0,20480,556277,394977
15-04 13:33:46,55.065,9.870,34.805,0,0.260,4759109632,26275713024,83931136,2416791552,0,0,1542945,945643
15-04 13:33:47,45.939,12.183,41.624,0,0.254,4758949888,26274926592,83931136,2417713152,0,0,1398530,877810
15-04 13:33:48,15.578,4.523,79.648,0,0.251,4759298048,26274566144,83931136,2417725440,0,0,315267,242664
15-04 13:33:49,62.338,14.026,23.377,0,0.260,4766896128,26266279936,83931136,2418393088,0,0,2098484,1264834
15-04 13:33:50,41.565,11.980,45.966,0.244,0.244,4767395840,26265088000,83931136,2419073024,0,20480,1136331,716714
15-04 13:33:51,21.320,4.569,74.112,0,0,4767498240,26264956928,83931136,2419101696,0,0,564081,390438
15-04 13:33:52,54.545,13.247,31.948,0,0.260,4774981632,26256732160,83931136,2419826688,0,8192,1429086,945082
15-04 13:33:53,18.500,4.500,76.750,0,0.250,4774830080,26256764928,83931136,2419933184,0,0,337055,254353
15-04 13:33:54,34.750,8.750,56.250,0,0.250,4775403520,26255798272,83931136,2420314112,0,0,951203,580624
15-04 13:33:55,59.288,15.267,25.191,0,0.254,4782866432,26247340032,83931136,2421293056,0,28672,2190150,1154689
15-04 13:33:56,40.876,9.732,49.148,0,0.243,4786823168,26243112960,83931136,2421559296,0,0,817529,583329
15-04 13:33:57,61.168,14.467,23.096,1.015,0.254,4790984704,26237952000,83931136,2422530048,0,4919296,2224436,1252593
15-04 13:33:58,17.531,4.691,77.531,0,0.247,4791246848,26237628416,83931136,2422591488,0,0,317897,241743
15-04 13:33:59,51.020,13.265,35.459,0,0.255,4799270912,26229141504,83931136,2423042048,0,0,1535099,991627
15-04 13:34:00,36.111,9.091,54.545,0,0.253,4799139840,26228654080,83935232,2423644160,0,40960,1079393,653074
15-04 13:34:01,31.378,5.357,63.265,0,0,4803600384,26224156672,83935232,2423681024,0,0,726290,490157
15-04 13:34:02,51.145,13.740,34.606,0,0.509,4804075520,26222940160,83935232,2424377344,0,32768,1435016,952355
15-04 13:34:03,55.208,12.500,32.031,0,0.260,4807270400,26218856448,83935232,2425245696,0,0,1782256,1034646
15-04 13:34:04,32.061,6.361,61.323,0,0.254,4807192576,26218827776,83935232,2425348096,0,0,615820,435141
15-04 13:34:05,44.359,10.513,45.128,0,0,4812050432,26213216256,83935232,2426093568,0,24576,1695363,947146
15-04 13:34:06,57.576,14.394,27.525,0,0.505,4811341824,26212954112,83935232,2427035648,0,0,2044187,1125177
15-04 13:34:07,60.759,13.165,25.063,0.759,0.253,4813115392,26210226176,83935232,2427961344,0,6483968,2043035,1208303
15-04 13:34:08,62.148,14.834,22.506,0.256,0.256,4827795456,26194661376,83935232,2428809216,0,6713344,2181584,1224240
15-04 13:34:09,57.732,14.691,27.320,0,0.258,4831395840,26190188544,83935232,2429652992,0,0,1862341,1145617
15-04 13:34:10,61.499,12.403,25.840,0,0.258,4836847616,26183868416,83935232,2430496768,0,45056,1996423,1106724
15-04 13:34:11,61.772,13.924,24.051,0,0.253,4843724800,26175913984,83935232,2431549440,0,0,1971834,1148489
15-04 13:34:12,57.750,13,29,0,0.250,4844810240,26174230528,83935232,2432126976,0,0,1923895,1089125
15-04 13:34:13,58.056,14.834,26.854,0,0.256,4852101120,26165846016,83935232,2433191936,0,0,1924504,1135815
15-04 13:34:14,51.899,12.405,35.443,0,0.253,4859052032,26158215168,83935232,2433843200,0,0,1483270,917159
15-04 13:34:15,56.122,16.071,27.296,0,0.510,4859527168,26157035520,83939328,2434523136,0,20480,1799388,1111161
15-04 13:34:16,59.591,14.066,26.087,0,0.256,4867907584,26147966976,83939328,2435194880,0,0,1908146,1098071
15-04 13:34:17,60,14.359,25.385,0,0.256,4875173888,26139852800,83939328,2436022272,0,0,1932820,1121127
15-04 13:34:18,58.656,13.437,27.390,0,0.517,4875632640,26138390528,83939328,2437001216,0,0,1985909,1105731
15-04 13:34:19,61.440,14.653,23.650,0,0.257,4888035328,26124939264,83939328,2438000640,0,0,2046611,1136728
15-04 13:34:20,62.690,13.706,23.350,0,0.254,4891627520,26120474624,83943424,2438848512,0,20480,2140101,1215700
15-04 13:34:21,63.731,14.249,21.762,0,0.259,4895707136,26115379200,83943424,2439843840,0,0,2145975,1235082
15-04 13:34:22,60.459,13.520,25.765,0,0.255,4903518208,26106806272,83943424,2440589312,0,0,1887453,1136252
15-04 13:34:23,58.897,14.536,26.316,0,0.251,4907368448,26101944320,83943424,2441576448,0,8192,2153414,1150382
15-04 13:34:24,59.221,18.701,21.818,0,0.260,4911280128,26097143808,83943424,2442407936,0,0,2116088,1269801
15-04 13:34:25,58.505,13.660,27.320,0.258,0.258,4919005184,26088656896,83943424,2443161600,0,28672,1858224,1109116
15-04 13:34:26,62.183,13.706,23.604,0,0.508,4922875904,26083663872,83943424,2444263424,0,0,2104868,1221171
15-04 13:34:27,54.499,12.082,33.162,0,0.257,4927115264,26078744576,83943424,2444918784,0,0,1671131,996249
15-04 13:34:28,59.288,12.214,27.990,0.254,0.254,4934975488,26070114304,83943424,2445672448,0,5488640,1731873,1059897
15-04 13:34:29,57.732,13.402,28.608,0,0.258,4940902400,26061881344,83943424,2447900672,0,0,1734435,993460
15-04 13:34:30,63.776,16.582,19.388,0,0.255,4947423232,26052169728,83943424,2451046400,0,40960,2140174,1222998
15-04 13:34:31,61.929,14.975,22.843,0,0.254,4956303360,26040770560,83943424,2453467136,0,0,1803361,1038930
15-04 13:34:32,62.850,13.740,23.155,0,0.254,4959391744,26034143232,83943424,2456924160,0,0,1783845,1112225
15-04 13:34:33,55.440,13.731,30.570,0,0.259,4959543296,26033180672,83943424,2457710592,0,32768,1997092,1111549
15-04 13:34:34,61.168,15.228,23.096,0,0.508,4970823680,26020814848,83943424,2458759168,0,0,2182924,1233618
15-04 13:34:35,55.980,15.522,28.244,0,0.254,4975251456,26015571968,83943424,2459553792,0,32768,1775422,1150962
15-04 13:34:36,61.340,14.691,23.711,0,0.258,4978864128,26011230208,83943424,2460258304,0,0,1987063,1203587
15-04 13:34:37,60.309,14.175,25.258,0,0.258,4992847872,25994424320,83943424,2463035392,0,0,1707094,1042053
15-04 13:34:38,59.900,16.040,22.807,1.003,0.251,4997775360,25987940352,83943424,2464518144,0,19427328,1953927,1199042
15-04 13:34:39,54.569,14.467,30.711,0,0.254,4996993024,25987715072,83943424,2465472512,0,0,1775534,1073148
15-04 13:34:40,59.487,14.872,25.385,0,0.256,5008769024,25975099392,83947520,2466295808,0,49152,2025894,1127088
15-04 13:34:41,58.883,13.706,27.157,0,0.254,5016981504,25966014464,83947520,2467143680,0,0,2098665,1189725
15-04 13:34:42,59.591,14.578,25.575,0,0.256,5021560832,25960361984,83947520,2468196352,0,0,2175330,1174463
15-04 13:34:43,57.653,14.031,28.061,0,0.255,5030006784,25950928896,83947520,2469150720,0,45056,1937199,1066081
15-04 13:34:44,56.298,14.910,28.535,0,0.257,5033611264,25946382336,83947520,2470076416,0,0,1919140,1110016
15-04 13:34:45,56.533,14.070,29.146,0,0.251,5035569152,25943699456,83955712,2470785024,0,20480,1619480,1044449
15-04 13:34:46,52.551,12.755,34.439,0,0.255,5046743040,25931825152,83955712,2471452672,0,0,1399894,854943
15-04 13:34:47,49.747,15.909,34.091,0,0.253,5050818560,25927340032,83955712,2471841792,0,0,1214217,861676
15-04 13:34:48,53.453,14.066,32.225,0,0.256,5050777600,25926729728,83955712,2472480768,0,0,1632234,1024633
15-04 13:34:49,55.443,14.430,29.873,0,0.253,5051273216,25925758976,83955712,2472955904,0,0,1567859,1025915
15-04 13:34:50,61.519,15.190,22.785,0.253,0.253,5067960320,25908273152,83963904,2473734144,0,20480,2097614,1235307
15-04 13:34:51,56.443,14.691,28.608,0,0.258,5067915264,25907384320,83963904,2474627072,0,0,2099664,1192025
15-04 13:34:52,58.987,14.684,26.076,0,0.253,5072384000,25902014464,83963904,2475511808,0,0,1790914,1128627
15-04 13:34:53,56.633,13.776,29.337,0,0.255,5075689472,25897975808,83963904,2476228608,0,0,1483635,986156
15-04 13:34:54,41.730,10.687,47.328,0,0.254,5078970368,25894375424,83963904,2476544000,0,8192,854839,627620
15-04 13:34:55,49.377,12.968,37.406,0,0.249,5079494656,25893502976,83972096,2476875776,0,28672,1573426,991877
15-04 13:34:56,53.165,11.899,34.430,0,0.506,5079044096,25893216256,83972096,2477584384,0,0,1552660,982552
15-04 13:34:57,55.959,12.176,31.606,0,0.259,5091856384,25879674880,83972096,2478297088,0,0,1590898,928669
15-04 13:34:58,49.370,11.083,39.295,0,0.252,5091663872,25879416832,83972096,2478739456,0,0,1021909,745926
15-04 13:34:59,21.628,5.852,70.738,1.527,0.254,5091618816,25879425024,83972096,2478776320,0,5357568,596221,397055
15-04 13:35:00,51.026,12.564,36.154,0,0.256,5091975168,25878335488,83976192,2479493120,0,36864,1503660,972906
15-04 13:35:01,36.318,9.701,53.483,0,0.498,5091962880,25878171648,83976192,2479661056,0,0,784649,569127
15-04 13:35:02,36.528,11.658,51.554,0,0.259,5091667968,25878085632,83976192,2480029696,0,0,896034,620937
15-04 13:35:03,40.759,9.620,49.367,0,0.253,5099655168,25869877248,83976192,2480242688,0,0,813795,573944
15-04 13:35:04,54.331,10.499,34.383,0.525,0.262,5111046144,25858068480,83976192,2480652288,0,8151040,1232202,725091
15-04 13:35:05,43.959,4.627,51.157,0,0.257,5114839040,25854119936,83980288,2480787456,0,32768,540663,365500
15-04 13:35:06,58.228,11.646,29.873,0,0.253,5108736000,25859665920,83980288,2481340416,0,0,1773174,956785
15-04 13:35:07,55.013,12.853,31.877,0,0.257,5108699136,25858772992,83980288,2482257920,0,0,1514940,1041051
15-04 13:35:08,17.706,4.489,77.556,0,0.249,5108920320,25858510848,83980288,2482298880,0,0,340647,261606
15-04 13:35:09,61.421,8.122,29.695,0.508,0.254,5122146304,25844899840,83980288,2482671616,0,16535552,1185795,702897
15-04 13:35:10,38.734,4.557,56.456,0,0.253,5125464064,25841483776,83984384,2482765824,0,53248,357509,247922
15-04 13:35:11,44.500,5,50.250,0,0.250,5129326592,25837535232,83984384,2482847744,0,0,522026,343677
15-04 13:35:12,45.293,12.214,42.239,0,0.254,5142736896,25823387648,83984384,2483560448,0,0,1522214,958451
15-04 13:35:13,57.568,15.633,26.799,0,0,5208743936,25756811264,83984384,2484113408,0,0,1784687,1143394
15-04 13:35:14,59.067,13.212,26.943,0,0.777,5244223488,25720410112,83984384,2485006336,0,0,1772311,942899
15-04 13:35:15,40.250,4,55.500,0.250,0,5252927488,25711538176,83988480,2485166080,0,20480,333113,231442
15-04 13:35:16,55.499,10.997,33.248,0,0.256,5286928384,25677266944,83988480,2485432320,0,0,1014117,634524
15-04 13:35:17,44.643,6.122,48.980,0,0.255,5304352768,25659559936,83988480,2485710848,0,0,897021,583738
15-04 13:35:18,57.035,14.322,28.392,0,0.251,5346897920,25616293888,83988480,2486419456,0,0,1635532,1078108
15-04 13:35:19,39.796,9.184,50.510,0,0.510,5347135488,25615679488,83988480,2486784000,0,45056,819112,634110
15-04 13:35:20,35.279,10.914,53.807,0,0,5347418112,25615269888,83988480,2486906880,0,20480,1148672,730111
15-04 13:35:21,54.476,15.857,29.156,0,0.512,5362900992,25598689280,83988480,2487943168,0,0,1795689,1190500
15-04 13:35:22,40.409,10.997,48.338,0,0.256,5410443264,25550790656,83988480,2488283136,0,0,738421,558609
15-04 13:35:23,44.388,13.265,42.092,0,0.255,5460811776,25500180480,83988480,2488520704,0,0,1196615,839496
15-04 13:35:24,33.079,8.651,58.015,0,0.254,5481533440,25479086080,83988480,2488893440,0,0,662434,495068
15-04 13:35:25,11.421,3.553,84.772,0,0.254,5481594880,25478987776,83992576,2488922112,0,20480,267979,210158
15-04 13:35:26,9.548,3.518,86.683,0,0.251,5481455616,25479053312,83992576,2488995840,0,0,167543,141810
15-04 13:35:27,22.532,6.835,70.633,0,0,5481480192,25478991872,83992576,2489032704,0,0,657745,443369
15-04 13:35:28,63.776,11.480,24.490,0,0.255,5513965568,25445965824,83992576,2489544704,0,0,1815967,965797
15-04 13:35:29,63.797,11.392,24.051,0.253,0.506,5521281024,25437954048,83992576,2490216448,0,2486272,1396826,811006
15-04 13:35:30,61.282,10,28.462,0,0.256,5528817664,25430081536,83996672,2490544128,0,57344,1044647,674514
15-04 13:35:31,50.882,8.312,40.554,0,0.252,5508833280,25449660416,83996672,2490933248,0,0,1308323,765928
15-04 13:35:32,59.115,15.625,25,0,0.260,5524418560,25432891392,83996672,2492092416,0,0,1960178,1144544
15-04 13:35:33,57.614,13.706,28.426,0,0.254,5550542848,25405935616,83996672,2492899328,0,0,1964067,1176798
15-04 13:35:34,62.371,16.237,21.134,0,0.258,5652049920,25303379968,83996672,2493919232,0,0,2177637,1328306
15-04 13:35:35,50.253,13.384,36.111,0,0.253,5676773376,25278009344,84000768,2494554112,0,57344,1217381,873225
15-04 13:35:36,34.103,11.026,54.615,0,0.256,5676818432,25277915136,84000768,2494603264,0,0,1222180,748980
15-04 13:35:37,56.675,13.350,29.471,0,0.504,5689643008,25264009216,84000768,2495651840,0,0,1871535,1106408
15-04 13:35:38,57.107,17.005,25.635,0,0.254,5702246400,25250676736,84000768,2496368640,0,0,2067936,1238485
15-04 13:35:39,59.391,17.005,23.350,0,0.254,5704245248,25247473664,84000768,2497540096,0,0,2183768,1309406
15-04 13:35:40,56.667,13.590,29.231,0.256,0.256,5730701312,25220370432,84004864,2498162688,0,7315456,1360291,960844
15-04 13:35:41,31.980,6.599,61.168,0,0.254,5730906112,25220014080,84004864,2498306048,0,0,753676,516222
15-04 13:35:42,58.056,12.532,29.156,0,0.256,5730922496,25219190784,84004864,2499104768,0,0,1923874,1135059
15-04 13:35:43,57.732,15.979,25.773,0.258,0.258,5736493056,25212829696,84008960,2499862528,0,299008,1740801,1127190
15-04 13:35:44,53.109,16.321,30.311,0,0.259,5749932032,25198833664,84008960,2500407296,0,0,1354130,922839
15-04 13:35:45,53.197,12.276,33.760,0.256,0.512,5750276096,25198088192,84008960,2500804608,0,5038080,1521550,971453
15-04 13:35:46,57.468,12.911,29.367,0,0.253,5755973632,25191677952,84008960,2501500928,0,0,1475964,986045
15-04 13:35:47,55.270,12.339,32.134,0,0.257,5768691712,25178517504,84008960,2501931008,0,0,1312834,877299
15-04 13:35:48,57.538,13.317,28.894,0,0.251,5768867840,25177542656,84008960,2502709248,0,45056,2000860,1152536
15-04 13:35:49,61.658,15.544,22.539,0,0.259,5769015296,25176428544,84008960,2503647232,0,0,2146635,1266559
15-04 13:35:50,52.105,13.421,34.211,0,0.263,5773926400,25170944000,84008960,2504212480,0,0,1303533,903696
15-04 13:35:51,25.316,7.089,67.342,0,0.253,5773770752,25170849792,84008960,2504458240,0,0,515720,385030
15-04 13:35:52,50,12.944,36.548,0,0.508,5774131200,25170132992,84008960,2504806400,0,0,1537552,967053
15-04 13:35:53,53.590,16.923,29.231,0,0.256,5773279232,25170132992,84013056,2505617408,0,20480,1584354,1043387
15-04 13:35:54,51.759,13.317,34.673,0,0.251,5786583040,25156493312,84013056,2505945088,0,0,1300633,886457
15-04 13:35:55,59.481,12.727,27.532,0,0.260,5790384128,25151782912,84013056,2506846208,0,61440,2025444,1145448
15-04 13:35:56,53.453,14.322,31.969,0,0.256,5790023680,25151438848,84013056,2507534336,0,0,1496219,992010
15-04 13:35:57,50.761,15.482,33.503,0,0.254,5795913728,25145081856,84013056,2507976704,0,0,1218405,832573
15-04 13:35:58,56.522,14.066,28.389,0,1.023,5799673856,25140674560,84013056,2508603392,0,20480,1754514,1023481
15-04 13:35:59,54.220,15.090,30.435,0,0.256,5800062976,25139671040,84013056,2509213696,0,0,1457327,1001409
15-04 13:36:00,57.143,14.796,27.806,0,0.255,5807415296,25131552768,84013056,2509950976,0,212992,2107320,1123797
15-04 13:36:01,61.680,12.861,24.934,0,0.525,5812645888,25125269504,84013056,2510962688,0,0,2009002,1183151
15-04 13:36:02,58.081,14.141,27.525,0,0.253,5814112256,25123127296,84013056,2511634432,0,0,1627564,1033614
15-04 13:36:03,51.697,14.360,33.420,0.261,0.261,5814370304,25122381824,84013056,2512105472,0,45056,1303974,919893
15-04 13:36:04,57.545,14.066,28.133,0,0.256,5819486208,25116577792,84013056,2512764928,0,0,1924320,1141956
15-04 13:36:05,61.499,13.437,24.806,0,0.258,5820481536,25114771456,84013056,2513567744,0,5832704,1950574,1181071
15-04 13:36:06,60.406,14.975,24.365,0,0.254,5824299008,25110069248,84013056,2514427904,0,0,2008702,1161953
15-04 13:36:07,56.599,13.706,29.442,0,0.254,5826252800,25107271680,84013056,2515247104,0,0,1723354,1093386
