Command line: -t -db pt.ulisboa.tecnico.sconekv.ycsb.SconeKVClient -P workloada -threads 256 -s -p scone.tx_size=5 -p operationcount=10000000 -p maxexecutiontime=300 -p requestdistribution=uniform
2020-09-24 10:43:00:860 170 sec: 844529 operations; 6332.7 current ops/sec; est completion in 30 minutes [READ: Count=31618, Max=1285119, Min=874, Avg=41264.32, 90=62271, 99=613887, 99.9=1039871, 99.99=1275903] [UPDATE: Count=31743, Max=1286143, Min=813, Avg=41192.96, 90=62527, 99=606719, 99.9=1037823, 99.99=1275903] 
2020-09-24 10:43:10:859 180 sec: 909821 operations; 6529.2 current ops/sec; est completion in 29 minutes [READ: Count=32369, Max=1009151, Min=64, Avg=38488.06, 90=64927, 99=553983, 99.9=632831, 99.99=802303] [UPDATE: Count=32874, Max=1047039, Min=871, Avg=39039.4, 90=66239, 99=553983, 99.9=629247, 99.99=667135] 
2020-09-24 10:43:20:860 190 sec: 977281 operations; 6746 current ops/sec; est completion in 29 minutes [READ: Count=33689, Max=1229823, Min=741, Avg=38167.49, 90=62495, 99=578047, 99.9=916479, 99.99=1191935] [UPDATE: Count=33798, Max=1240063, Min=67, Avg=37908.56, 90=62175, 99=578047, 99.9=999423, 99.99=1230847] 
2020-09-24 10:43:30:860 200 sec: 1046128 operations; 6884.7 current ops/sec; est completion in 28 minutes [READ: Count=34369, Max=755199, Min=46, Avg=36220.76, 90=57727, 99=564223, 99.9=630783, 99.99=680959] [UPDATE: Count=34454, Max=993279, Min=749, Avg=36625.7, 90=58719, 99=564223, 99.9=631807, 99.99=671743] 
2020-09-24 10:43:40:859 210 sec: 1110169 operations; 6404.1 current ops/sec; est completion in 28 minutes [READ: Count=32134, Max=1016319, Min=60, Avg=41047.73, 90=59103, 99=571391, 99.9=626687, 99.99=693759] [UPDATE: Count=31939, Max=950271, Min=872, Avg=39798.58, 90=56831, 99=573951, 99.9=627711, 99.99=650751] 
2020-09-24 10:43:50:859 220 sec: 1177625 operations; 6745.6 current ops/sec; est completion in 27 minutes [READ: Count=33864, Max=1082367, Min=833, Avg=37768.14, 90=65663, 99=583167, 99.9=910335, 99.99=979455] [UPDATE: Count=33573, Max=1028095, Min=769, Avg=38972.44, 90=67711, 99=582143, 99.9=716799, 99.99=996351] 
2020-09-24 10:44:00:859 230 sec: 1248701 operations; 7107.6 current ops/sec; est completion in 26 minutes [READ: Count=35401, Max=738303, Min=888, Avg=36327.16, 90=60287, 99=557567, 99.9=646143, 99.99=670719] [UPDATE: Count=35687, Max=1001471, Min=826, Avg=36138.23, 90=60319, 99=556031, 99.9=640511, 99.99=666623] 
2020-09-24 10:44:10:859 240 sec: 1316351 operations; 6765 current ops/sec; est completion in 26 minutes [READ: Count=33891, Max=1361919, Min=77, Avg=37911.4, 90=65919, 99=567295, 99.9=983551, 99.99=1326079] [UPDATE: Count=33751, Max=1368063, Min=853, Avg=37045.31, 90=65983, 99=563711, 99.9=1014271, 99.99=1349631] 
2020-09-24 10:44:20:859 250 sec: 1386759 operations; 7040.8 current ops/sec; est completion in 25 minutes [READ: Count=35127, Max=780287, Min=45, Avg=36039.21, 90=57919, 99=558591, 99.9=680447, 99.99=767487] [UPDATE: Count=35266, Max=1044991, Min=821, Avg=36612.94, 90=57823, 99=558591, 99.9=680959, 99.99=783871] 
2020-09-24 10:44:30:859 260 sec: 1457760 operations; 7100.1 current ops/sec; est completion in 25 minutes [READ: Count=35573, Max=992767, Min=104, Avg=36786.4, 90=60383, 99=565759, 99.9=638975, 99.99=960511] [UPDATE: Count=35447, Max=1009151, Min=800, Avg=35171.64, 90=59647, 99=560127, 99.9=635391, 99.99=946687] 
2020-09-24 10:44:40:859 270 sec: 1520934 operations; 6317.4 current ops/sec; est completion in 25 minutes [READ: Count=31627, Max=1138687, Min=688, Avg=40579.61, 90=63999, 99=563711, 99.9=793599, 99.99=1118207] [UPDATE: Count=31526, Max=1137663, Min=857, Avg=40077.14, 90=62943, 99=566271, 99.9=895999, 99.99=1115135] 
2020-09-24 10:44:50:859 280 sec: 1585800 operations; 6486.6 current ops/sec; est completion in 24 minutes [READ: Count=32208, Max=1323007, Min=52, Avg=39525.16, 90=63263, 99=579583, 99.9=1061887, 99.99=1271807] [UPDATE: Count=32707, Max=1532927, Min=49, Avg=40350.87, 90=63519, 99=584191, 99.9=1068031, 99.99=1344511] 
2020-09-24 10:45:00:859 290 sec: 1652869 operations; 6706.9 current ops/sec; est completion in 24 minutes [READ: Count=33542, Max=1044991, Min=68, Avg=37320.17, 90=65439, 99=553983, 99.9=626687, 99.99=792063] [UPDATE: Count=33509, Max=815615, Min=721, Avg=38162.31, 90=67071, 99=556031, 99.9=622591, 99.99=667647] 
2020-09-24 10:45:10:861 300 sec: 1709003 operations; 5612.84 current ops/sec; est completion in 24 minutes [READ: Count=27924, Max=1038335, Min=836, Avg=45490.4, 90=67583, 99=567295, 99.9=631295, 99.99=988159] [UPDATE: Count=28198, Max=1359871, Min=841, Avg=45179.54, 90=65727, 99=566271, 99.9=636927, 99.99=1022463] 
Maximum time elapsed. Requesting stop for the workload.
Stop requested for workload. Now Joining!
[36m10:45:11.572[m [[34;1mINFO[m] [1;34mp.u.t.s.y.Stats.clientFinished@38[m: 
Ended SconeKV benchmark.
Number of clients: 256
Total transactions: 342101
Committed: 341124 (99.71441%)
Aborted: 977 (0.28558818%)
2020-09-24 10:45:11:576 300 sec: 1710633 operations; 2286.12 current ops/sec; est completion in 24 minutes [READ: Count=817, Max=664575, Min=1303, Avg=90726.47, 90=519679, 99=620543, 99.9=664063, 99.99=664575] [CLEANUP: Count=256, Max=1600, Min=2, Avg=10.61, 90=7, 99=19, 99.9=1600, 99.99=1600] [UPDATE: Count=791, Max=635903, Min=1096, Avg=95104.08, 90=519167, 99=610303, 99.9=634367, 99.99=635903] 
[OVERALL], RunTime(ms), 300705
[OVERALL], Throughput(ops/sec), 5688.7414575747
[TOTAL_GCS_G1_Young_Generation], Count, 142
[TOTAL_GC_TIME_G1_Young_Generation], Time(ms), 3771
[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%), 1.2540529755075573
[TOTAL_GCS_G1_Old_Generation], Count, 0
[TOTAL_GC_TIME_G1_Old_Generation], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%), 0.0
[TOTAL_GCs], Count, 142
[TOTAL_GC_TIME], Time(ms), 3771
[TOTAL_GC_TIME_%], Time(%), 1.2540529755075573
[READ], Operations, 854756
[READ], AverageLatency(us), 43541.72264599488
