"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-80-workloadb-1024-20201207-180326-0.csv 1 400",,,,"Date:","07 Dec 2020 18:03:37 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
07-12 18:04:21,57.761,11.196,28.244,2.290,0.509,2624249856,25883164672,96268288,4862988288,0,2449408,2873406,3185885
07-12 18:04:22,58.333,10.101,28.788,2.525,0.253,2623582208,25883832320,96268288,4862988288,0,3473408,3449668,4685157
07-12 18:04:23,63.889,11.869,21.970,2.020,0.253,2624720896,25882689536,96268288,4862992384,0,3502080,3668542,4507983
07-12 18:04:24,50.891,12.723,32.061,4.071,0.254,2625273856,25882136576,96268288,4862992384,0,3518464,3126634,3546905
07-12 18:04:25,57.692,13.846,25.641,2.564,0.256,2625150976,25882259456,96268288,4862992384,0,3874816,3213853,3975268
07-12 18:04:26,51.523,9.645,36.294,2.284,0.254,2625765376,25881645056,96268288,4862992384,0,1888256,2606356,2697291
07-12 18:04:27,48.936,11.702,36.170,2.926,0.266,2625576960,25881833472,96268288,4862992384,0,2519040,3173342,3310347
07-12 18:04:28,44.675,13.506,38.182,3.117,0.519,2625609728,25881800704,96268288,4862992384,0,2371584,2810319,3127343
07-12 18:04:29,46.234,12.468,37.922,3.117,0.260,2626035712,25881374720,96268288,4862992384,0,2568192,3018191,3220337
07-12 18:04:30,40.365,12.240,44.271,2.865,0.260,2627059712,25880346624,96268288,4862996480,0,1982464,2405663,2426603
07-12 18:04:31,48.564,11.227,38.381,1.567,0.261,2627076096,25880330240,96268288,4862996480,0,1544192,2871313,2819289
07-12 18:04:32,56.104,13.506,27.273,2.857,0.260,2628268032,25879138304,96268288,4862996480,0,3051520,3105557,3494788
07-12 18:04:33,58.122,12.437,26.396,2.792,0.254,2627325952,25880076288,96268288,4863000576,0,3010560,3314528,4215504
07-12 18:04:34,58.376,13.959,24.619,2.792,0.254,2628186112,25879216128,96268288,4863000576,0,3870720,3214688,4259724
07-12 18:04:35,58.750,12.500,25.750,3,0,2629357568,25878044672,96268288,4863000576,0,4005888,3521377,4528897
07-12 18:04:36,63.861,12.376,22.277,1.238,0.248,2629009408,25878392832,96268288,4863000576,0,3407872,3953329,5496769
07-12 18:04:37,60.750,12.250,25,2,0,2629791744,25877610496,96268288,4863000576,0,3059712,3509535,4707586
07-12 18:04:38,57.761,10.178,29.517,2.290,0.254,2630217728,25877184512,96268288,4863000576,0,3051520,3366967,4979735
07-12 18:04:39,62.871,12.129,22.772,2.228,0,2630127616,25877270528,96268288,4863004672,0,3829760,3571029,4992996
07-12 18:04:40,59.900,12.281,25.564,2.256,0,2631262208,25876135936,96268288,4863004672,0,3588096,3642069,4921071
07-12 18:04:41,64.604,11.881,21.040,2.228,0.248,2634752000,25872642048,96268288,4863008768,0,3411968,3861845,4881573
07-12 18:04:42,54.639,11.598,30.670,3.093,0,2632458240,25874935808,96268288,4863008768,0,3653632,3306647,4707683
07-12 18:04:43,56.430,11.024,29.921,2.625,0,2632675328,25874714624,96268288,4863012864,0,3403776,3415822,4908872
07-12 18:04:44,59.740,11.429,25.195,3.117,0.519,2634145792,25873240064,96268288,4863016960,0,3506176,3433389,4620220
07-12 18:04:45,49.215,13.089,34.031,3.141,0.524,2633355264,25874026496,96268288,4863021056,0,2760704,3062728,3389325
07-12 18:04:46,53.077,12.308,30.513,3.846,0.256,2634178560,25873203200,96268288,4863021056,0,3358720,2826180,3239623
07-12 18:04:47,53.968,11.905,30.952,2.381,0.794,2634407936,25872969728,96268288,4863025152,0,2478080,2868546,3066154
07-12 18:04:48,49.622,12.343,35.013,2.771,0.252,2634850304,25872527360,96268288,4863025152,0,2793472,2641427,3208701
07-12 18:04:49,59.184,13.265,23.214,3.827,0.510,2635177984,25872195584,96268288,4863029248,0,4517888,3587058,4463057
07-12 18:04:50,58.824,13.043,24.552,3.069,0.512,2637086720,25870286848,96268288,4863029248,0,3735552,3484292,4516007
07-12 18:04:51,63,11.750,23.500,1.500,0.250,2637090816,25870278656,96268288,4863033344,0,3096576,3803639,5030084
07-12 18:04:52,51.889,14.861,29.975,3.023,0.252,2637602816,25869762560,96268288,4863037440,0,3678208,3102140,3906739
07-12 18:04:53,57.722,11.392,27.848,2.278,0.759,2637783040,25869582336,96268288,4863037440,0,2912256,3373015,4098773
07-12 18:04:54,51.169,11.169,34.026,3.117,0.519,2637926400,25869430784,96268288,4863045632,0,2723840,3020072,3162993
07-12 18:04:55,53.807,13.452,29.442,3.046,0.254,2638671872,25868677120,96268288,4863053824,0,3117056,3418037,3818780
07-12 18:04:56,60.769,13.590,22.821,2.564,0.256,2637889536,25869459456,96268288,4863053824,0,3391488,3235041,3986768
07-12 18:04:57,41.085,12.920,41.344,4.393,0.258,2638585856,25868750848,96268288,4863066112,0,2723840,2660704,2649686
07-12 18:04:58,50,13.265,33.163,3.061,0.510,2638409728,25868926976,96268288,4863066112,0,3166208,3346691,3790178
07-12 18:04:59,55.416,12.846,28.715,2.771,0.252,2642120704,25865211904,96268288,4863070208,0,3301376,3454845,4174375
07-12 18:05:00,60.769,10.256,26.154,2.564,0.256,2640498688,25866833920,96268288,4863070208,0,3014656,3563208,4837235
07-12 18:05:01,61.307,12.312,24.623,1.508,0.251,2640363520,25866969088,96268288,4863070208,0,2924544,3554300,4882983
07-12 18:05:02,54.615,12.564,28.718,3.846,0.256,2640048128,25867280384,96268288,4863074304,0,3907584,2999827,3862826
07-12 18:05:03,57.584,14.396,23.650,3.856,0.514,2640388096,25866932224,96268288,4863082496,0,4313088,3629105,4563452
07-12 18:05:04,61.461,12.091,24.181,2.267,0,2643308544,25864011776,96268288,4863082496,0,3395584,3432576,4271259
07-12 18:05:05,51.345,14.425,31.296,2.689,0.244,2641989632,25865326592,96268288,4863086592,0,3547136,3227012,4386686
07-12 18:05:06,50.777,12.176,33.420,3.368,0.259,2642489344,25864818688,96268288,4863094784,0,3493888,2796110,3695817
07-12 18:05:07,42.010,13.918,39.691,3.866,0.515,2642448384,25864859648,96268288,4863094784,0,2469888,2852662,3117673
07-12 18:05:08,59.453,12.935,23.632,3.731,0.249,2642964480,25864327168,96268288,4863094784,0,4169728,3673335,4975514
07-12 18:05:09,56.853,11.929,27.665,3.299,0.254,2643099648,25864183808,96268288,4863102976,0,3739648,3141079,3689520
07-12 18:05:10,52.564,12.821,31.282,3.077,0.256,2645000192,25862275072,96268288,4863111168,0,3629056,2911008,3753843
07-12 18:05:11,59.950,12.846,25.189,2.015,0,2645770240,25861505024,96268288,4863111168,0,3309568,4170944,5364286
07-12 18:05:12,78.250,10.750,9.750,1,0.250,2645684224,25861586944,96268288,4863115264,0,3178496,5997946,7026206
07-12 18:05:13,60.354,13.889,21.970,3.535,0.253,2646523904,25860722688,96268288,4863139840,0,4354048,4261388,5617579
07-12 18:05:14,56.555,13.111,26.478,3.599,0.257,2646425600,25860812800,96268288,4863148032,0,3866624,3860151,4861386
07-12 18:05:15,61.209,12.091,24.433,2.015,0.252,2647511040,25859723264,96268288,4863152128,0,3203072,4036543,4667205
07-12 18:05:16,78.358,7.463,13.433,0.746,0,2647695360,25859534848,96268288,4863156224,0,2699264,4637855,5610030
07-12 18:05:17,63.636,13.889,19.697,2.525,0.253,2647957504,25859264512,96268288,4863164416,0,4157440,5003138,6155934
07-12 18:05:18,54.220,13.299,27.877,4.348,0.256,2648150016,25859067904,96268288,4863168512,0,3399680,4074340,4644423
07-12 18:05:19,41.406,14.844,38.802,4.688,0.260,2648354816,25858846720,96268288,4863184896,0,3334144,3035657,3447187
07-12 18:05:20,53.086,14.321,29.383,2.716,0.494,2649407488,25857785856,96268288,4863193088,0,3010560,3413922,3914754
07-12 18:05:21,61.364,11.616,24.747,2.020,0.253,2649681920,25857507328,96268288,4863197184,0,2936832,4146820,5343157
07-12 18:05:22,61.519,11.899,23.291,3.038,0.253,2650189824,25856995328,96268288,4863201280,0,3715072,4228557,4651845
07-12 18:05:23,44.051,14.684,37.215,3.544,0.506,2649931776,25857249280,96268288,4863205376,0,2486272,3523487,3934235
07-12 18:05:24,44.949,14.141,37.626,3.030,0.253,2650013696,25857167360,96268288,4863205376,0,2609152,3996059,4203201
07-12 18:05:25,50.505,12.374,34.091,2.525,0.505,2650591232,25856585728,96268288,4863209472,0,2277376,3816353,4034934
07-12 18:05:26,43.687,14.141,38.384,3.535,0.253,2650648576,25856520192,96268288,4863217664,0,2527232,3702250,4016981
07-12 18:05:27,48.062,16.537,31.008,3.876,0.517,2650828800,25856319488,96268288,4863238144,0,3567616,3491266,4059129
07-12 18:05:28,60.902,12.531,23.559,2.757,0.251,2650873856,25856270336,96268288,4863242240,0,3682304,3334237,4026052
07-12 18:05:29,57.323,11.111,28.535,2.778,0.253,2651594752,25855545344,96268288,4863246336,0,3239936,3427887,3930064
07-12 18:05:30,49.471,11.905,35.714,2.910,0,2652831744,25854300160,96268288,4863254528,0,2580480,3340570,3589716
07-12 18:05:31,52.130,11.278,34.085,2.005,0.501,2652553216,25854578688,96268288,4863254528,0,2109440,3008407,3167469
07-12 18:05:32,39.947,12.963,43.386,3.439,0.265,2652446720,25854676992,96268288,4863262720,0,2084864,2964793,3180691
07-12 18:05:33,38.481,12.911,44.810,3.544,0.253,2652622848,25854488576,96268288,4863275008,0,2031616,2603268,2670511
07-12 18:05:34,50.510,13.265,33.163,2.551,0.510,2653057024,25854050304,96268288,4863279104,0,2256896,3270736,3415102
07-12 18:05:35,54.359,12.821,30,2.564,0.256,2652966912,25854136320,96268288,4863283200,0,3084288,3517130,3984905
07-12 18:05:36,49.109,13.486,33.588,3.562,0.254,2653032448,25854062592,96268288,4863291392,0,3096576,3418799,3684551
07-12 18:05:37,51.151,14.066,31.714,3.069,0,2654236672,25852858368,96268288,4863291392,0,3522560,3563688,4424839
07-12 18:05:38,56.079,11.166,30.521,1.985,0.248,2654019584,25853067264,96268288,4863299584,0,2977792,3612720,4394825
07-12 18:05:39,56.266,11.253,29.668,2.813,0,2654470144,25852616704,96268288,4863299584,0,3391488,3683792,4258522
07-12 18:05:40,62.594,10.973,24.439,1.746,0.249,2654625792,25852456960,96268288,4863303680,0,3461120,3904611,4707026
07-12 18:05:41,53.885,11.529,31.328,3.258,0,2655334400,25851736064,96268288,4863315968,0,3858432,3579331,4560106
07-12 18:05:42,60.101,11.616,26.263,1.768,0.253,2657263616,25849802752,96268288,4863320064,0,3403776,3461738,3835310
07-12 18:05:43,49.495,11.364,37.374,1.515,0.253,2655932416,25851133952,96268288,4863320064,0,2621440,3289595,3873461
07-12 18:05:44,54.798,13.131,29.798,2.273,0,2657210368,25849856000,96268288,4863320064,0,3112960,4117246,4852596
07-12 18:05:45,51.500,12,32.750,3.250,0.500,2657685504,25849372672,96268288,4863328256,0,3080192,3523205,4135058
07-12 18:05:46,52.405,12.405,32.152,2.532,0.506,2657419264,25849634816,96268288,4863332352,0,2678784,4017431,4447848
07-12 18:05:47,48.379,9.975,38.653,2.494,0.499,2657607680,25849446400,96268288,4863332352,0,1867776,2887709,3147088
07-12 18:05:48,50.633,13.924,33.418,1.772,0.253,2657988608,25849065472,96268288,4863332352,0,1966080,4962201,5173488
07-12 18:05:49,52.152,11.392,33.671,2.532,0.253,2657878016,25849176064,96268288,4863332352,0,1941504,4432621,4570125
07-12 18:05:50,43.544,13.418,40,2.785,0.253,2658267136,25848786944,96268288,4863332352,0,1691648,4270299,4421812
07-12 18:05:51,42.416,10.540,44.473,2.314,0.257,2659028992,25848025088,96268288,4863332352,0,1282048,3733344,3737001
07-12 18:05:52,46.615,9.896,40.885,2.344,0.260,2658238464,25848811520,96268288,4863336448,0,1581056,4411093,4621534
07-12 18:05:53,44.757,13.299,39.386,2.302,0.256,2658336768,25848713216,96268288,4863336448,0,1482752,5252035,5415403
07-12 18:05:54,42.025,14.430,41.266,2.025,0.253,2658594816,25848455168,96268288,4863336448,0,1564672,4010068,4045506
07-12 18:05:55,48.438,10.156,39.062,2.083,0.260,2658713600,25848324096,96268288,4863348736,0,1470464,4159744,4167739
07-12 18:05:56,53.553,9.898,34.772,1.777,0,2658607104,25848430592,96268288,4863348736,0,2416640,4179490,4534664
07-12 18:05:57,48.320,12.403,36.434,2.584,0.258,2658746368,25848287232,96268288,4863352832,0,2105344,6361995,6544662
07-12 18:05:58,54.774,11.809,30.905,2.261,0.251,2659426304,25847607296,96268288,4863352832,0,2490368,5520023,5754051
07-12 18:05:59,47.668,11.917,38.083,2.332,0,2659135488,25847894016,96268288,4863356928,0,1794048,4584689,4787745
07-12 18:06:00,46.787,10.540,40.103,2.314,0.257,2659397632,25847631872,96268288,4863356928,0,1699840,7121297,7158444
07-12 18:06:01,48.485,12.626,36.364,2.273,0.253,2661289984,25845735424,96268288,4863361024,0,1830912,5280484,5299502
07-12 18:06:02,56.203,13.671,27.595,2.278,0.253,2660331520,25846693888,96268288,4863361024,0,3477504,3665673,4983627
07-12 18:06:03,60.705,11.335,25.945,2.015,0,2660327424,25846697984,96268288,4863361024,0,3223552,3294729,4448738
07-12 18:06:04,50.769,12.821,33.077,3.077,0.256,2660909056,25846116352,96268288,4863361024,0,3715072,2973155,3633387
07-12 18:06:05,54.293,12.121,30.051,3.283,0.253,2661085184,25845940224,96268288,4863361024,0,3600384,3352372,4717410
07-12 18:06:06,61.893,10.742,24.297,3.069,0,2662551552,25844473856,96268288,4863361024,0,3919872,4026480,5243366
07-12 18:06:07,59.214,10.565,27.764,2.211,0.246,2661937152,25845080064,96268288,4863369216,0,3137536,3041918,3869961
07-12 18:06:08,48.980,13.776,33.929,3.316,0,2662088704,25844924416,96268288,4863373312,0,3600384,3181790,3992779
07-12 18:06:09,43.112,11.735,42.347,2.551,0.255,2661916672,25845096448,96268288,4863373312,0,2138112,2302535,2387765
07-12 18:06:10,57.463,14.677,24.627,3.234,0,2662948864,25844060160,96268288,4863377408,0,4128768,3866013,5078706
07-12 18:06:11,55.725,13.486,27.735,2.799,0.254,2663084032,25843924992,96268288,4863377408,0,3690496,3471545,4142747
07-12 18:06:12,58.854,13.021,24.479,3.646,0,2664521728,25842483200,96268288,4863381504,0,4222976,3996165,4838644
07-12 18:06:13,55.416,10.831,31.486,2.015,0.252,2663890944,25843109888,96268288,4863385600,0,2715648,3045647,3857671
07-12 18:06:14,57.323,11.869,26.263,4.293,0.253,2664423424,25842569216,96268288,4863393792,0,3985408,3486371,4096408
07-12 18:06:15,59.204,14.925,22.886,2.985,0,2664632320,25842360320,96268288,4863393792,0,3280896,3459155,4228023
07-12 18:06:16,62,13.250,21.500,3,0.250,2665099264,25841893376,96268288,4863393792,0,4288512,4201040,5416599
07-12 18:06:17,53.351,11.598,31.701,3.093,0.258,2665869312,25841123328,96268288,4863393792,0,2846720,3006045,3314991
07-12 18:06:18,37.008,12.073,48.031,2.625,0.262,2665738240,25841254400,96268288,4863393792,0,1495040,2621536,2745738
07-12 18:06:19,51.163,9.561,36.951,2.067,0.258,2665488384,25841500160,96268288,4863397888,0,1863680,2818932,3115398
07-12 18:06:20,42.119,11.886,42.894,2.842,0.258,2666295296,25840693248,96268288,4863397888,0,1986560,2794797,3026193
07-12 18:06:21,42.159,13.368,41.131,3.085,0.257,2666344448,25840644096,96268288,4863397888,0,2011136,2677682,2901683
07-12 18:06:22,42.051,11.538,43.333,2.821,0.256,2666483712,25840504832,96268288,4863397888,0,1839104,2459690,2660957
07-12 18:06:23,45.431,10.406,41.878,2.284,0,2666418176,25840570368,96268288,4863397888,0,1601536,2307890,2396160
07-12 18:06:24,40.633,13.720,42.216,3.166,0.264,2666823680,25840164864,96268288,4863397888,0,2088960,2895023,2980638
07-12 18:06:25,61.929,11.929,22.843,3.299,0,2667458560,25839525888,96268288,4863397888,0,4096000,3355613,4369667
07-12 18:06:26,42.748,12.214,41.730,3.053,0.254,2669428736,25837555712,96268288,4863397888,0,2039808,2573462,2730897
07-12 18:06:27,54.156,11.587,30.730,3.275,0.252,2668081152,25838903296,96268288,4863397888,0,3338240,3225520,4601799
07-12 18:06:28,53.333,15.128,27.179,4.103,0.256,2668122112,25838862336,96268288,4863397888,0,4222976,3512360,4448990
07-12 18:06:29,58.040,12.312,26.884,2.513,0.251,2668347392,25838637056,96268288,4863397888,0,3473408,3298851,4126219
07-12 18:06:30,53.535,13.636,29.040,3.535,0.253,2669338624,25837645824,96268288,4863397888,0,3993600,3442844,4309790
07-12 18:06:31,50.639,12.020,33.760,3.325,0.256,2669891584,25837084672,96268288,4863406080,0,3162112,2672239,3144049
07-12 18:06:32,46.096,10.831,40.302,2.771,0,2670772224,25836204032,96268288,4863406080,0,1687552,2481170,2470559
07-12 18:06:33,41.476,11.705,44.020,2.545,0.254,2670096384,25836875776,96268288,4863410176,0,1724416,2467281,2604524
07-12 18:06:34,37.275,13.111,46.015,3.342,0.257,2670006272,25836965888,96268288,4863410176,0,1949696,2621338,2694140
07-12 18:06:35,35.733,12.853,48.329,2.828,0.257,2669998080,25836974080,96268288,4863410176,0,1646592,2407494,2492765
07-12 18:06:36,34.606,12.723,49.618,2.799,0.254,2669883392,25837088768,96268288,4863410176,0,1650688,2406907,2454374
07-12 18:06:37,34.109,12.403,50.646,2.584,0.258,2669899776,25837072384,96268288,4863410176,0,1490944,2534311,2593770
07-12 18:06:38,50.649,12.468,34.286,2.597,0,2670804992,25836163072,96268288,4863414272,0,3076096,3062488,3642581
07-12 18:06:39,45.170,12.533,38.642,3.394,0.261,2670817280,25836150784,96268288,4863414272,0,3166208,2954857,3351585
07-12 18:06:40,37.157,13.965,46.633,2.244,0,2670878720,25836085248,96268288,4863418368,0,1499136,2353531,2313888
07-12 18:06:41,44.388,11.735,40.816,2.806,0.255,2670911488,25836052480,96268288,4863418368,0,2637824,2567329,2882464
07-12 18:06:42,68.010,12.343,17.128,2.519,0,2672128000,25834835968,96268288,4863418368,0,4112384,3926566,5177648
07-12 18:06:43,61.153,10.526,25.313,2.757,0.251,2672312320,25834651648,96268288,4863418368,0,3698688,3508685,5067057
07-12 18:06:44,50.765,13.010,31.888,4.082,0.255,2672119808,25834844160,96268288,4863418368,0,3448832,3062041,3909207
07-12 18:06:45,59.214,13.268,25.307,2.211,0,2672795648,25834164224,96268288,4863422464,0,3440640,3223694,4281061
07-12 18:06:46,57.750,12.500,27,2.500,0.250,2673078272,25833881600,96268288,4863422464,0,2916352,3412272,4068429
07-12 18:06:47,42.462,13.317,41.206,2.764,0.251,2673573888,25833385984,96268288,4863422464,0,2527232,2660233,3383854
07-12 18:06:48,33.506,12.208,51.169,2.857,0.260,2673377280,25833582592,96268288,4863422464,0,1552384,2393026,2495149
07-12 18:06:49,50.127,12.152,34.430,3.038,0.253,2673696768,25833263104,96268288,4863422464,0,3211264,2761265,3413464
07-12 18:06:50,55.330,12.183,28.934,3.299,0.254,2675048448,25831911424,96268288,4863422464,0,3178496,3166421,3928316
07-12 18:06:51,46.214,14.099,34.987,4.439,0.261,2675453952,25831505920,96268288,4863422464,0,3629056,3024313,3432525
07-12 18:06:52,53.788,11.111,32.828,2.020,0.253,2675871744,25831088128,96268288,4863422464,0,2056192,2690297,2895452
07-12 18:06:53,53.671,12.152,32.405,1.519,0.253,2676203520,25830752256,96268288,4863426560,0,2289664,3053486,3715148
07-12 18:06:54,51.880,12.281,33.333,2.256,0.251,2676281344,25830674432,96268288,4863426560,0,3141632,3271932,4124289
07-12 18:06:55,34.759,14.439,47.594,2.941,0.267,2676449280,25830506496,96268288,4863426560,0,1904640,2485149,2600022
07-12 18:06:56,50.129,10.078,35.917,3.618,0.258,2676490240,25830465536,96268288,4863426560,0,3366912,3169231,3833105
07-12 18:06:57,62.341,9.669,25.700,2.036,0.254,2677321728,25829634048,96268288,4863426560,0,3543040,3322974,4555212
07-12 18:06:58,44.301,13.212,38.083,4.145,0.259,2677166080,25829789696,96268288,4863426560,0,3170304,2767336,3184154
07-12 18:06:59,36.990,11.480,48.980,2.551,0,2677428224,25829527552,96268288,4863426560,0,1601536,2069790,2019773
07-12 18:07:00,48.446,9.326,40.155,1.813,0.259,2677116928,25829838848,96268288,4863426560,0,1413120,2679970,2628524
07-12 18:07:01,39.628,11.170,46.277,2.660,0.266,2677456896,25829498880,96268288,4863426560,0,1679360,2308116,2257619
07-12 18:07:02,43.979,11.780,41.361,2.618,0.262,2677440512,25829515264,96268288,4863426560,0,2187264,2610198,2911103
07-12 18:07:03,46.053,11.842,38.158,3.684,0.263,2677604352,25829351424,96268288,4863426560,0,2981888,2730851,2959969
07-12 18:07:04,43.117,13.247,40,3.377,0.260,2678030336,25828925440,96268288,4863426560,0,2408448,3018416,3305263
07-12 18:07:05,38.786,15.040,42.480,3.694,0,2678951936,25827999744,96268288,4863430656,0,2547712,2602571,2832606
07-12 18:07:06,47.901,12.593,36.296,2.963,0.247,2679410688,25827532800,96268288,4863438848,0,2555904,2772823,2855696
07-12 18:07:07,47.895,8.421,40,3.421,0.263,2679853056,25827090432,96268288,4863438848,0,2469888,2268007,2365195
07-12 18:07:08,34.974,12.176,50.518,2.332,0,2678919168,25828024320,96268288,4863438848,0,1499136,2301050,2370944
07-12 18:07:09,39.386,15.345,41.688,3.325,0.256,2679132160,25827811328,96268288,4863438848,0,2678784,2798331,3103231
07-12 18:07:10,41.885,14.398,39.791,3.665,0.262,2680160256,25826783232,96268288,4863438848,0,2617344,2904119,3320783
07-12 18:07:11,56.771,13.021,27.865,2.344,0,2680614912,25826328576,96268288,4863438848,0,3493888,3586930,4912772
07-12 18:07:12,51.145,13.232,31.807,3.562,0.254,2680500224,25826435072,96268288,4863447040,0,3788800,3362126,4047822
