"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cassandra-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cassandra-80-workloadb-1024-20201208-160349-client.csv 1 400",,,,"Date:","08 Dec 2020 16:04:01 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
08-12 16:04:46,49.497,23.995,25.377,0,1.131,3384827904,28451872768,45400064,1679081472,0,0,9502039,4978729
08-12 16:04:47,50.384,28.133,20.460,0,1.023,3384680448,28452020224,45400064,1679081472,0,0,10691511,5684543
08-12 16:04:48,49.739,27.676,21.279,0,1.305,3384975360,28451725312,45400064,1679081472,0,0,10483504,5431768
08-12 16:04:49,51.633,26.256,20.980,0,1.131,3386093568,28450607104,45400064,1679081472,0,0,10567458,5521906
08-12 16:04:50,51.750,26.375,20.875,0,1,3385659392,28451033088,45408256,1679081472,0,16384,10601571,5563090
08-12 16:04:51,49.290,25.032,24.645,0,1.032,3385716736,28450975744,45408256,1679081472,0,0,9620948,5010763
08-12 16:04:52,51.204,26.743,21.039,0,1.014,3407912960,28428779520,45408256,1679081472,0,0,10663084,5498954
08-12 16:04:53,52.241,28.425,18.310,0,1.024,3460444160,28376248320,45408256,1679081472,0,0,11329788,5820489
08-12 16:04:54,52.196,27.519,19.251,0,1.034,3461033984,28375658496,45408256,1679081472,0,0,10943398,5573599
08-12 16:04:55,48.985,26.904,23.223,0,0.888,3461664768,28375027712,45408256,1679081472,0,0,10208485,5238418
08-12 16:04:56,49.166,25.417,24.262,0.128,1.027,3460886528,28375797760,45416448,1679081472,0,16384,9643727,4983407
08-12 16:04:57,52.949,25.128,20.769,0,1.154,3460784128,28375900160,45416448,1679081472,0,0,10604011,5402576
08-12 16:04:58,53.621,27.446,17.789,0,1.144,3460497408,28376186880,45416448,1679081472,0,0,10864226,5600359
08-12 16:04:59,52.665,26.523,19.543,0,1.269,3460759552,28375924736,45416448,1679081472,0,0,10872369,5460704
08-12 16:05:00,50.697,28.264,19.772,0,1.267,3461058560,28375625728,45416448,1679081472,0,0,10768603,5453359
08-12 16:05:01,52.592,28.571,17.699,0,1.138,3461656576,28375027712,45416448,1679081472,0,0,11676520,5852224
08-12 16:05:02,47.730,25.681,25.681,0,0.908,3461320704,28375355392,45424640,1679081472,0,12288,9753905,5014581
08-12 16:05:03,50.189,29.382,19.546,0,0.883,3461877760,28374798336,45424640,1679081472,0,0,11739680,5843262
08-12 16:05:04,54.326,26.972,17.812,0,0.891,3468726272,28367945728,45424640,1679085568,0,155648,11664685,5806625
08-12 16:05:05,52.102,26.115,20.892,0,0.892,3469094912,28367577088,45424640,1679085568,0,0,11266348,5614706
08-12 16:05:06,52.179,28.333,18.590,0,0.897,3468505088,28368166912,45424640,1679085568,0,0,12000084,6038940
08-12 16:05:07,52.113,27.017,19.974,0,0.896,3468595200,28368076800,45424640,1679085568,0,0,11446485,5776494
08-12 16:05:08,48.974,28.462,21.667,0,0.897,3468652544,28368011264,45432832,1679085568,0,24576,10570553,5325310
08-12 16:05:09,49.487,26.026,23.462,0,1.026,3470331904,28366331904,45432832,1679085568,0,16384,10752935,5235045
08-12 16:05:10,49.301,27.319,22.618,0,0.762,3470331904,28366331904,45432832,1679085568,0,0,11165193,5560031
08-12 16:05:11,53.435,27.863,17.812,0,0.891,3471093760,28365570048,45432832,1679085568,0,0,12418290,6215570
08-12 16:05:12,50.830,28.097,20.179,0,0.894,3470561280,28366086144,45432832,1679085568,0,0,11562558,5666728
08-12 16:05:13,52.852,28.010,18.378,0,0.760,3470942208,28365701120,45432832,1679089664,0,0,12251543,6035739
08-12 16:05:14,51.392,27.089,20.633,0,0.886,3470450688,28366184448,45441024,1679089664,0,16384,11468554,5688681
08-12 16:05:15,52.513,25.754,20.854,0,0.879,3471859712,28364775424,45441024,1679089664,0,0,11120856,5433711
08-12 16:05:16,50.383,25.765,22.832,0,1.020,3470893056,28365742080,45441024,1679089664,0,0,10532014,5146550
08-12 16:05:17,51.654,27.863,19.338,0,1.145,3471245312,28365389824,45441024,1679089664,0,0,11503281,5561197
08-12 16:05:18,54.092,26.854,18.159,0,0.895,3470999552,28365635584,45441024,1679089664,0,0,11911011,5835453
08-12 16:05:19,49.742,23.711,25.644,0,0.902,3470614528,28366020608,45441024,1679089664,0,8192,10469217,4999645
08-12 16:05:20,50.385,27.308,21.282,0,1.026,3470548992,28366077952,45449216,1679089664,0,24576,11140342,5468310
08-12 16:05:21,50.775,25.969,22.481,0,0.775,3471433728,28365193216,45449216,1679089664,0,0,11174417,5446323
08-12 16:05:22,47.335,26.015,25.761,0,0.888,3470901248,28365725696,45449216,1679089664,0,0,10330978,4928351
08-12 16:05:23,51.083,27.771,20.127,0,1.019,3470745600,28365881344,45449216,1679089664,0,0,11371274,5565039
08-12 16:05:24,53.250,26.750,19.125,0,0.875,3470983168,28365643776,45449216,1679089664,0,0,11896222,5643691
08-12 16:05:25,53.275,26.700,19.018,0,1.008,3471065088,28365561856,45449216,1679089664,0,0,11897206,5705732
08-12 16:05:26,49.296,27.913,21.767,0,1.024,3470995456,28365627392,45453312,1679089664,0,16384,11034126,5287804
08-12 16:05:27,51.341,24.649,22.861,0,1.149,3470503936,28366118912,45453312,1679089664,0,0,11027163,5206732
08-12 16:05:28,51.746,27.167,20.052,0,1.035,3470323712,28366299136,45453312,1679089664,0,0,11891792,5731901
08-12 16:05:29,48.325,26.418,24.356,0,0.902,3472683008,28363939840,45453312,1679089664,0,0,10625910,5155142
08-12 16:05:30,49.182,28.176,21.761,0,0.881,3472293888,28364328960,45453312,1679089664,0,0,11247724,5406973
08-12 16:05:31,51.746,27.038,20.310,0,0.906,3472457728,28364165120,45453312,1679089664,0,0,11712813,5568404
08-12 16:05:32,46.134,25.033,27.523,0,1.311,3472969728,28363649024,45457408,1679089664,0,16384,9584291,4656094
08-12 16:05:33,51.925,28.944,18.137,0,0.994,3473330176,28363288576,45457408,1679089664,0,0,12189004,5757585
08-12 16:05:34,48.087,23.724,27.296,0,0.893,3472986112,28363632640,45457408,1679089664,0,0,9494418,4661519
08-12 16:05:35,41.080,20.352,37.688,0,0.879,3473223680,28363395072,45457408,1679089664,0,0,7737003,3630803
08-12 16:05:36,51.918,26.471,20.716,0,0.895,3473600512,28363018240,45457408,1679089664,0,0,11382019,5387465
08-12 16:05:37,51.180,27.578,20,0.124,1.118,3473084416,28363526144,45465600,1679089664,0,49152,11318115,5403096
08-12 16:05:38,54.362,29.456,15.044,0,1.138,3473469440,28363141120,45465600,1679089664,0,0,13576844,6329373
08-12 16:05:39,51.995,26.255,20.721,0,1.030,3473358848,28363239424,45481984,1679085568,0,106496,11413704,5373541
08-12 16:05:40,52.760,27.086,19.255,0,0.899,3473076224,28363485184,45481984,1679089664,0,0,12555494,5836144
08-12 16:05:41,51.410,27.692,19.872,0,1.026,3473436672,28363124736,45481984,1679089664,0,0,12107851,5651154
08-12 16:05:42,53.539,27.284,17.889,0,1.287,3473068032,28363493376,45481984,1679089664,0,0,12370477,5747998
08-12 16:05:43,48.485,27.146,22.980,0,1.389,3473616896,28362944512,45481984,1679089664,0,0,10161853,4790160
08-12 16:05:44,50.619,24.010,24.381,0,0.990,3473788928,28362772480,45481984,1679089664,0,0,10835358,4986447
08-12 16:05:45,51.015,26.650,21.066,0,1.269,3473129472,28363419648,45490176,1679089664,0,36864,11120048,5245445
08-12 16:05:46,48.030,24.778,25.921,0,1.271,3473506304,28363042816,45490176,1679089664,0,0,9824305,4581908
08-12 16:05:47,47.382,25.287,26.309,0,1.022,3473244160,28363304960,45490176,1679089664,0,0,10074702,4728927
08-12 16:05:48,52.652,24.191,21.863,0,1.294,3473604608,28362944512,45490176,1679089664,0,0,10771435,5026710
08-12 16:05:49,51.023,28.133,19.693,0,1.151,3474096128,28362452992,45490176,1679089664,0,0,11492993,5299956
08-12 16:05:50,49.285,27.308,22.367,0,1.040,3474354176,28362182656,45498368,1679093760,0,12288,11002704,5128065
08-12 16:05:51,48.325,23.325,27.448,0,0.902,3474616320,28361920512,45498368,1679093760,0,0,10042537,4643209
08-12 16:05:52,49.803,24.640,24.640,0,0.917,3474845696,28361691136,45498368,1679093760,0,0,10950562,5156301
08-12 16:05:53,46.735,25.864,26.504,0,0.896,3474223104,28362313728,45498368,1679093760,0,0,10751685,4920945
08-12 16:05:54,51.904,26.523,20.685,0,0.888,3474591744,28361945088,45498368,1679093760,0,0,11849125,5520579
08-12 16:05:55,51.601,28.937,18.566,0,0.896,3474739200,28361797632,45498368,1679093760,0,4096,12408267,5686544
08-12 16:05:56,52.558,25.703,20.972,0,0.767,3474395136,28362133504,45506560,1679093760,0,16384,12190417,5615885
08-12 16:05:57,47.859,27.456,23.552,0,1.134,3474403328,28362125312,45506560,1679093760,0,0,11143144,5127527
08-12 16:05:58,51.355,27.355,20.516,0,0.774,3474878464,28361650176,45506560,1679093760,0,0,12169335,5592357
08-12 16:05:59,52.290,25.827,20.992,0,0.891,3474640896,28361887744,45506560,1679093760,0,0,11642061,5418851
08-12 16:06:00,49.112,26.015,23.985,0,0.888,3474690048,28361838592,45506560,1679093760,0,0,11117112,5064952
08-12 16:06:01,49.936,26.309,22.861,0,0.894,3474100224,28362428416,45506560,1679093760,0,0,11627138,5265706
08-12 16:06:02,43.219,23.954,31.939,0,0.887,3474321408,28362199040,45514752,1679093760,0,12288,8848899,4063074
08-12 16:06:03,50.816,26.725,21.581,0,0.878,3473973248,28362547200,45514752,1679093760,0,0,11657735,5311727
08-12 16:06:04,51.210,26.752,21.146,0,0.892,3473850368,28362670080,45514752,1679093760,0,0,11517287,5263447
08-12 16:06:05,48.676,25.347,25.095,0,0.883,3473530880,28362989568,45514752,1679093760,0,0,10742453,4985433
08-12 16:06:06,56.777,25.959,16.496,0,0.767,3481030656,28355489792,45514752,1679093760,0,0,13007137,5770845
08-12 16:06:07,49.089,27.865,22.135,0,0.911,3480481792,28356038656,45514752,1679093760,0,0,12040217,5468288
08-12 16:06:08,49.424,28.297,21.127,0.128,1.024,3480375296,28356136960,45522944,1679093760,0,16384,11955764,5389798
08-12 16:06:09,50.893,26.786,21.556,0,0.765,3481448448,28355063808,45522944,1679093760,0,0,12066371,5387391
08-12 16:06:10,47.275,24.968,26.743,0.127,0.887,3481047040,28355465216,45522944,1679093760,0,151552,10453022,4719554
08-12 16:06:11,49.155,26.398,23.667,0,0.780,3480662016,28355850240,45522944,1679093760,0,0,11578877,5304496
08-12 16:06:12,51.886,24.837,22.367,0,0.910,3480842240,28355670016,45522944,1679093760,0,0,11774599,5271111
08-12 16:06:13,52.792,28.173,18.147,0,0.888,3481432064,28355080192,45522944,1679093760,0,0,12944577,5859810
08-12 16:06:14,51.324,25.221,22.699,0,0.757,3481186304,28355317760,45531136,1679093760,0,24576,11819527,5287609
08-12 16:06:15,50,23.522,25.578,0,0.900,3480735744,28355768320,45531136,1679093760,0,24576,10918946,4942740
08-12 16:06:16,52.711,27.491,18.789,0,1.009,3480940544,28355563520,45531136,1679093760,0,0,12386207,5537829
08-12 16:06:17,50.636,27.481,20.738,0,1.145,3481079808,28355424256,45531136,1679093760,0,0,11644711,5246852
08-12 16:06:18,49.619,28.173,21.193,0,1.015,3481038848,28355465216,45531136,1679093760,0,0,11995746,5288076
08-12 16:06:19,51.259,27.708,20.025,0,1.008,3481194496,28355309568,45531136,1679093760,0,0,12129200,5465718
08-12 16:06:20,50.064,27.006,22.166,0,0.764,3481169920,28355325952,45539328,1679093760,0,16384,12152605,5361836
08-12 16:06:21,47.013,25.714,26.364,0,0.909,3481202688,28355293184,45539328,1679093760,0,0,10944841,4903209
08-12 16:06:22,53.992,29.151,16.096,0,0.760,3481268224,28355227648,45539328,1679093760,0,0,14003445,6199882
08-12 16:06:23,49.422,27.985,21.823,0,0.770,3481210880,28355284992,45539328,1679093760,0,0,12298548,5510830
08-12 16:06:24,51.948,27.922,19.221,0,0.909,3481657344,28354834432,45539328,1679097856,0,0,13077142,5832967
08-12 16:06:25,47.909,28.517,22.814,0,0.760,3481141248,28355350528,45539328,1679097856,0,0,12055912,5389228
08-12 16:06:26,49.872,28.718,20.641,0.128,0.641,3481759744,28354727936,45543424,1679097856,0,16384,13296314,5841332
08-12 16:06:27,50.190,26.675,22.250,0,0.885,3480997888,28355489792,45543424,1679097856,0,0,11879004,5324636
08-12 16:06:28,51.658,26.913,20.663,0,0.765,3481018368,28355465216,45543424,1679101952,0,0,12482539,5515283
08-12 16:06:29,47.704,24.872,26.658,0,0.765,3480281088,28356202496,45543424,1679101952,0,0,11124619,4863907
08-12 16:06:30,50.326,27.901,20.991,0,0.782,3480514560,28355969024,45543424,1679101952,0,0,12831940,5744105
08-12 16:06:31,50.765,28.954,19.643,0,0.638,3480735744,28355747840,45543424,1679101952,0,0,13588980,5968579
08-12 16:06:32,47.254,25.798,26.309,0,0.639,3480453120,28356026368,45547520,1679101952,0,12288,11204734,4958629
08-12 16:06:33,50.973,27.237,21.012,0,0.778,3480322048,28356157440,45547520,1679101952,0,0,12831859,5679209
08-12 16:06:34,49.553,27.714,22.095,0,0.639,3479986176,28356493312,45547520,1679101952,0,0,12293618,5446184
08-12 16:06:35,55.071,28.113,16.046,0,0.770,3480477696,28356001792,45547520,1679101952,0,0,14542686,6327690
08-12 16:06:36,53.308,28.117,17.812,0,0.763,3480256512,28356222976,45547520,1679101952,0,8192,13702963,5946877
08-12 16:06:37,51.334,27.573,20.330,0,0.762,3481505792,28354973696,45547520,1679101952,0,0,13233146,5815785
08-12 16:06:38,50.828,28.535,19.873,0,0.764,3481391104,28355080192,45555712,1679101952,0,24576,12894780,5687831
08-12 16:06:39,45.876,22.809,30.284,0,1.031,3481382912,28355088384,45555712,1679101952,0,0,9977321,4339084
08-12 16:06:40,47.089,25.097,27.167,0,0.647,3481628672,28354842624,45555712,1679101952,0,0,10784718,4831131
08-12 16:06:41,40.102,22.989,36.271,0,0.639,3481567232,28354899968,45559808,1679101952,0,24576,10287960,4294735
08-12 16:06:42,55.387,27.123,16.096,0,1.394,3481862144,28354605056,45559808,1679101952,0,0,14086942,6098866
08-12 16:06:43,51.088,27.785,19.334,0,1.793,3481509888,28354957312,45559808,1679101952,0,0,12519270,5429533
08-12 16:06:44,52.679,29.464,15.689,0,2.168,3481825280,28354637824,45563904,1679101952,0,32768,13521539,5793871
08-12 16:06:45,54.337,29.209,14.413,0,2.041,3482218496,28354244608,45563904,1679101952,0,0,14377029,6107246
08-12 16:06:46,51.950,28.428,17.107,0,2.516,3481866240,28354596864,45563904,1679101952,0,0,12674086,5431570
08-12 16:06:47,53.518,26.884,17.085,0,2.513,3483287552,28353175552,45563904,1679101952,0,4096,12718912,5408123
08-12 16:06:48,53.015,27.010,17.965,0,2.010,3482722304,28353740800,45563904,1679101952,0,0,12658893,5446343
08-12 16:06:49,53.401,28.338,16.373,0,1.889,3484413952,28352049152,45563904,1679101952,0,0,13446566,5683447
08-12 16:06:50,50.195,28.609,20.156,0,1.040,3483799552,28352655360,45572096,1679101952,0,49152,12847619,5558127
08-12 16:06:51,52.978,30.165,16.096,0,0.760,3484274688,28352180224,45572096,1679101952,0,49152,14660320,6308296
08-12 16:06:52,55.612,29.847,13.903,0,0.638,3483889664,28352565248,45572096,1679101952,0,0,15437931,6667520
08-12 16:06:53,48.516,26.194,24.645,0,0.645,3483709440,28352745472,45572096,1679101952,0,0,11632041,5117002
08-12 16:06:54,43.167,21.073,35.121,0,0.639,3483815936,28352638976,45572096,1679101952,0,0,9999608,4206654
08-12 16:06:55,53.512,25.670,19.923,0,0.894,3483799552,28352655360,45572096,1679101952,0,0,12771429,5554075
08-12 16:06:56,53.222,25.773,20.103,0,0.902,3484082176,28352368640,45576192,1679101952,0,16384,12933682,5591561
08-12 16:06:57,47.876,24.324,27.027,0,0.772,3483738112,28352712704,45576192,1679101952,0,0,11281914,4852148
08-12 16:06:58,53.972,28.247,16.898,0,0.883,3484336128,28352114688,45576192,1679101952,0,0,14027012,6056484
08-12 16:06:59,52.163,28.372,18.575,0,0.891,3484016640,28352434176,45576192,1679101952,0,0,13189472,5738572
08-12 16:07:00,54.231,26.538,18.205,0,1.026,3483598848,28352851968,45576192,1679101952,0,0,13050244,5697990
08-12 16:07:01,51.680,26.744,20.672,0,0.904,3484164096,28352286720,45576192,1679101952,0,0,12823084,5532858
08-12 16:07:02,52.904,27.525,18.561,0,1.010,3483828224,28352614400,45584384,1679101952,0,12288,12763318,5563456
08-12 16:07:03,57.471,28.991,12.644,0,0.894,3484254208,28352188416,45584384,1679101952,0,0,15723978,6634205
08-12 16:07:04,56.154,28.205,14.744,0,0.897,3484016640,28352425984,45584384,1679101952,0,0,14561210,6295899
08-12 16:07:05,52.393,27.204,19.647,0,0.756,3483484160,28352958464,45584384,1679101952,0,0,13267524,5750097
08-12 16:07:06,55.330,28.173,15.736,0,0.761,3483881472,28352557056,45584384,1679106048,0,0,14841531,6332031
08-12 16:07:07,55.612,28.189,15.561,0,0.638,3483594752,28352843776,45584384,1679106048,0,0,14858323,6414426
08-12 16:07:08,54.592,29.719,14.923,0,0.765,3483353088,28353081344,45588480,1679106048,0,16384,15090040,6443595
08-12 16:07:09,58.577,28.081,12.706,0,0.635,3484319744,28352114688,45588480,1679106048,0,0,16363020,6911220
08-12 16:07:10,55.164,29.471,14.736,0,0.630,3484303360,28352131072,45588480,1679106048,0,0,15597338,6659702
08-12 16:07:11,50.381,26.269,22.589,0,0.761,3483844608,28352589824,45588480,1679106048,0,24576,12983298,5582849
08-12 16:07:12,55.316,26.962,16.835,0,0.886,3484295168,28352139264,45588480,1679106048,0,0,14091518,5997665
08-12 16:07:13,56.116,27.112,16.015,0,0.757,3483942912,28352491520,45588480,1679106048,0,0,14868187,6301053
08-12 16:07:14,54.719,28.699,15.689,0,0.893,3484610560,28351819776,45592576,1679106048,0,28672,14410592,6188711
08-12 16:07:15,52.611,28.790,17.580,0,1.019,3484250112,28352180224,45592576,1679106048,0,0,13623776,5812383
08-12 16:07:16,50.193,29.140,19.641,0,1.027,3484192768,28352237568,45592576,1679106048,0,0,12886510,5512528
08-12 16:07:17,51.690,27.284,20.025,0,1.001,3484110848,28352319488,45592576,1679106048,0,4096,12403555,5345584
08-12 16:07:18,57.396,29.330,12.263,0,1.011,3483758592,28352671744,45592576,1679106048,0,0,16082875,6715786
08-12 16:07:19,49.180,24.590,25.473,0,0.757,3484397568,28352032768,45592576,1679106048,0,0,11771810,5017108
08-12 16:07:20,50.633,24.304,24.304,0,0.759,3485011968,28351410176,45600768,1679106048,0,16384,12192968,5099319
08-12 16:07:21,55.038,28.967,15.239,0,0.756,3484160000,28352262144,45600768,1679106048,0,0,15316075,6453851
08-12 16:07:22,53.944,27.354,17.812,0,0.891,3483856896,28352565248,45600768,1679106048,0,0,14107964,5910633
08-12 16:07:23,52.605,28.717,17.916,0,0.762,3484028928,28352393216,45600768,1679106048,0,0,14331264,5996490
08-12 16:07:24,51.031,27.964,19.845,0,1.160,3484291072,28352131072,45600768,1679106048,0,0,12895916,5473115
08-12 16:07:25,55.172,30.268,13.538,0,1.022,3483873280,28352548864,45600768,1679106048,0,0,15676558,6454454
08-12 16:07:26,53.816,30.401,14.748,0,1.035,3484258304,28352155648,45608960,1679106048,0,16384,14835086,6238372
08-12 16:07:27,53.418,26.962,18.481,0,1.139,3484274688,28352139264,45608960,1679106048,0,16384,12898598,5506250
08-12 16:07:28,55.203,32.234,11.041,0,1.523,3484151808,28352262144,45608960,1679106048,0,0,15949633,6565875
08-12 16:07:29,56.466,28.937,13.316,0,1.280,3484758016,28351655936,45608960,1679106048,0,0,14486232,6050162
08-12 16:07:30,54.744,23.974,19.872,0,1.410,3484512256,28351901696,45608960,1679106048,0,0,12126957,5085879
08-12 16:07:31,52.888,24.647,21.053,0,1.412,3484733440,28351680512,45608960,1679106048,0,0,11179536,4632583
08-12 16:07:32,52.592,23.515,22.882,0.126,0.885,3484237824,28352172032,45613056,1679106048,0,12288,14395981,5757316
08-12 16:07:33,60.203,28.264,10.393,0,1.141,3484606464,28351803392,45613056,1679106048,0,0,16082046,6691032
08-12 16:07:34,54.892,28.844,15.121,0,1.144,3484794880,28351614976,45613056,1679106048,0,0,14281407,5942085
08-12 16:07:35,55.300,29.630,13.793,0,1.277,3484622848,28351787008,45613056,1679106048,0,0,14716241,6067109
08-12 16:07:36,55.102,28.444,15.306,0,1.148,3484884992,28351524864,45613056,1679106048,0,0,14282662,5979998
08-12 16:07:37,55.924,30.064,12.866,0,1.146,3484442624,28351967232,45613056,1679106048,0,0,15103529,6261727
08-12 16:07:38,53.367,27.573,17.916,0,1.144,3484655616,28351746048,45621248,1679106048,0,16384,12874257,5408767
08-12 16:07:39,56.085,27.102,15.433,0,1.380,3484729344,28351672320,45621248,1679106048,0,0,13700037,5723791
08-12 16:07:40,54.278,29.630,14.815,0,1.277,3484450816,28351950848,45621248,1679106048,0,0,14152235,5804482
08-12 16:07:41,58.512,29.508,10.719,0,1.261,3484901376,28351500288,45621248,1679106048,0,0,15643430,6436994
08-12 16:07:42,59.269,28.373,10.214,0,2.144,3484966912,28351434752,45621248,1679106048,0,20480,14840452,6014651
08-12 16:07:43,58.503,28.173,11.929,0,1.396,3484684288,28351713280,45621248,1679110144,0,0,15012391,6134346
08-12 16:07:44,54.545,27.904,15.783,0,1.768,3484930048,28351459328,45625344,1679114240,0,16384,14216624,5670790
08-12 16:07:45,56.726,30.711,10.787,0,1.777,3484905472,28351483904,45625344,1679114240,0,0,14805425,6083615
08-12 16:07:46,49.552,26.504,22.023,0,1.921,3485437952,28350951424,45625344,1679114240,0,0,11976485,4881811
08-12 16:07:47,54.974,28.316,14.668,0,2.041,3485388800,28351000576,45625344,1679114240,0,0,13871415,5556446
08-12 16:07:48,64.669,27.216,4.744,0,3.371,3485011968,28351377408,45625344,1679114240,0,0,17276043,6592313
