"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vm-node20",,,,"User:","vagrant"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output /vagrant/sconekv-20200930-141508-workloadf-64-node20.csv 1 400",,,,"Date:","30 Sep 2020 13:15:15 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",
30-09 13:15:52,5.701,3.735,86.370,0.0,0.0,4.194,8197419008.0,38539264.0,1536106496.0,27135156224.0,0.0,16384.0,1221210.0,1151009.0
30-09 13:15:53,17.605,4.647,74.738,0.0,0.0,3.010,8197517312.0,38539264.0,1536335872.0,27134828544.0,0.0,0.0,882327.0,800731.0
30-09 13:15:54,28.106,8.350,58.113,0.0,0.0,5.431,8232300544.0,38539264.0,1536733184.0,27099648000.0,0.0,0.0,1555179.0,1410147.0
30-09 13:15:55,5.526,3.553,87.697,0.0,0.0,3.224,8233988096.0,38539264.0,1537163264.0,27097530368.0,0.0,0.0,1100416.0,1058998.0
30-09 13:15:56,20.107,4.461,71.771,0.200,0.0,3.462,8234369024.0,38539264.0,1537552384.0,27096760320.0,0.0,6594560.0,1233523.0,1173205.0
30-09 13:15:57,21.570,5.739,68.536,0.0,0.0,4.156,8244477952.0,38547456.0,1537810432.0,27086385152.0,0.0,53248.0,1362670.0,1281914.0
30-09 13:15:58,10.106,4.888,80.779,0.0,0.0,4.227,8273870848.0,38547456.0,1538371584.0,27056431104.0,0.0,0.0,1403956.0,1312608.0
30-09 13:15:59,6.783,5.776,82.807,0.0,0.0,4.634,8275181568.0,38547456.0,1538813952.0,27054678016.0,0.0,0.0,1606376.0,1497571.0
30-09 13:16:00,4.293,4.029,87.913,0.0,0.0,3.765,8274812928.0,38547456.0,1539235840.0,27054624768.0,0.0,0.0,1099181.0,1054591.0
30-09 13:16:01,6.279,4.230,85.592,0.0,0.0,3.900,8275644416.0,38547456.0,1539608576.0,27053420544.0,0.0,0.0,1314226.0,1231874.0
30-09 13:16:02,12.011,5.640,77.240,0.0,0.0,5.109,8275243008.0,38555648.0,1540018176.0,27053404160.0,0.0,16384.0,1766627.0,1585963.0
30-09 13:16:03,10.731,5.859,78.275,0.0,0.0,5.135,8276725760.0,38555648.0,1531305984.0,27060633600.0,0.0,0.0,1685579.0,1548713.0
30-09 13:16:04,7.012,4.063,84.142,0.0,0.0,4.784,8276754432.0,38555648.0,1531715584.0,27060195328.0,0.0,0.0,1358290.0,1256697.0
30-09 13:16:05,10.686,4.947,80.409,0.0,0.0,3.958,8278355968.0,38555648.0,1522753536.0,27067555840.0,0.0,0.0,1251545.0,1125172.0
30-09 13:16:06,8.151,5.169,81.180,0.0,0.0,5.500,8278196224.0,38555648.0,1523130368.0,27067338752.0,0.0,0.0,1710858.0,1616242.0
30-09 13:16:07,10.208,6.112,77.373,0.0,0.0,6.307,8278036480.0,38567936.0,1523712000.0,27066904576.0,0.0,69632.0,1952392.0,1856022.0
30-09 13:16:08,7.612,5.906,81.496,0.0,0.0,4.987,8278151168.0,38567936.0,1524408320.0,27066093568.0,0.0,0.0,1548295.0,1489067.0
30-09 13:16:09,6.131,4.285,85.959,0.0,0.0,3.626,8277409792.0,38567936.0,1524817920.0,27066425344.0,0.0,0.0,1245287.0,1189374.0
30-09 13:16:10,24.073,5.725,65.517,0.0,0.0,4.684,8291717120.0,38567936.0,1525239808.0,27051696128.0,0.0,0.0,1359902.0,1285046.0
30-09 13:16:11,14.220,4.279,77.156,0.066,0.0,4.279,8308203520.0,38567936.0,1525571584.0,27034877952.0,0.0,7294976.0,1230460.0,1187352.0
30-09 13:16:12,14.888,5.072,74.308,0.066,0.0,5.665,8349351936.0,38576128.0,1525960704.0,26993332224.0,0.0,57344.0,1451420.0,1342773.0
30-09 13:16:13,23.011,5.902,66.247,0.0,0.0,4.841,8364900352.0,38576128.0,1526493184.0,26977251328.0,0.0,0.0,1307837.0,1207245.0
30-09 13:16:14,21.561,5.291,69.312,0.0,0.0,3.836,8419663872.0,38576128.0,1526812672.0,26922168320.0,0.0,0.0,1150337.0,1047257.0
30-09 13:16:15,9.596,5.295,78.226,0.0,0.0,6.883,8425717760.0,38576128.0,1527377920.0,26915549184.0,0.0,0.0,1963317.0,1857896.0
30-09 13:16:16,7.105,4.737,82.697,0.0,0.0,5.461,8425754624.0,38576128.0,1527971840.0,26914918400.0,0.0,0.0,1496331.0,1438138.0
30-09 13:16:17,7.924,5.043,81.467,0.0,0.0,5.566,8426307584.0,38584320.0,1528528896.0,26913800192.0,0.0,20480.0,1590897.0,1509748.0
30-09 13:16:18,8.079,3.841,83.974,0.0,0.0,4.106,8425570304.0,38584320.0,1528991744.0,26914074624.0,0.0,0.0,1289331.0,1204578.0
30-09 13:16:19,4.112,3.068,89.752,0.0,0.0,3.068,8425910272.0,38584320.0,1529294848.0,26913431552.0,0.0,0.0,886529.0,839254.0
30-09 13:16:20,9.413,5.674,78.905,0.0,0.0,6.008,8426360832.0,38584320.0,1529589760.0,26912686080.0,0.0,0.0,1688292.0,1559344.0
30-09 13:16:21,11.913,5.758,76.175,0.0,0.0,6.155,8426479616.0,38584320.0,1530216448.0,26911940608.0,0.0,0.0,1840352.0,1702981.0
30-09 13:16:22,6.588,4.809,82.740,0.0,0.0,5.863,8426201088.0,38592512.0,1530761216.0,26911666176.0,0.0,16384.0,1486220.0,1441783.0
30-09 13:16:23,5.398,4.477,86.043,0.0,0.0,4.082,8427536384.0,38592512.0,1531154432.0,26909937664.0,0.0,0.0,1226390.0,1175467.0
30-09 13:16:24,6.089,4.169,84.447,0.0,0.0,5.295,8426717184.0,38592512.0,1531527168.0,26910384128.0,0.0,0.0,1398654.0,1326310.0
30-09 13:16:25,9.486,5.270,78.458,0.0,0.0,6.785,8427552768.0,38592512.0,1532071936.0,26909003776.0,0.0,0.0,1933312.0,1801349.0
30-09 13:16:26,16.940,6.106,69.796,0.0,0.0,7.157,8427020288.0,38592512.0,1532596224.0,26909011968.0,0.0,7110656.0,1772506.0,1608814.0
30-09 13:16:27,18.331,5.453,72.470,0.0,0.0,3.745,8459362304.0,38600704.0,1523847168.0,26885410816.0,0.0,65536.0,1192719.0,1089682.0
30-09 13:16:28,4.803,2.632,89.013,0.0,0.0,3.553,8491343872.0,38600704.0,1524129792.0,26853146624.0,0.0,0.0,947177.0,893788.0
30-09 13:16:29,10.700,3.897,81.242,0.0,0.0,4.161,8494157824.0,38600704.0,1524391936.0,26850070528.0,0.0,0.0,1257355.0,1133283.0
30-09 13:16:30,37.375,7.795,48.967,0.0,0.0,5.863,8534409216.0,38600704.0,1524916224.0,26809294848.0,0.0,0.0,1412364.0,1274162.0
30-09 13:16:31,21.419,3.548,71.032,0.0,0.0,4.0,8573898752.0,38600704.0,1525309440.0,26769412096.0,0.0,0.0,836593.0,758758.0
30-09 13:16:32,5.913,4.271,84.691,0.0,0.0,5.125,8592248832.0,38608896.0,1525620736.0,26750742528.0,0.0,16384.0,1335581.0,1278450.0
30-09 13:16:33,5.425,3.464,87.190,0.0,0.0,3.922,8592171008.0,38608896.0,1525972992.0,26750468096.0,0.0,0.0,1132028.0,1056085.0
30-09 13:16:34,7.890,5.391,80.868,0.0,0.0,5.851,8592470016.0,38608896.0,1526480896.0,26749661184.0,0.0,0.0,1679265.0,1571447.0
30-09 13:16:35,10.079,6.258,77.734,0.0,0.0,5.929,8592449536.0,38608896.0,1526984704.0,26749177856.0,0.0,0.0,1763509.0,1618951.0
30-09 13:16:36,8.919,4.818,81.380,0.0,0.0,4.883,8592982016.0,38608896.0,1529212928.0,26746417152.0,0.0,0.0,1406087.0,1281023.0
30-09 13:16:37,10.921,6.579,76.711,0.0,0.0,5.789,8592887808.0,38617088.0,1534570496.0,26741145600.0,0.0,24576.0,1643192.0,1533144.0
30-09 13:16:38,7.415,3.675,83.465,0.0,0.0,5.446,8593498112.0,38617088.0,1535021056.0,26740084736.0,0.0,0.0,1261332.0,1185236.0
30-09 13:16:39,8.972,5.239,80.026,0.0,0.0,5.763,8593207296.0,38617088.0,1535447040.0,26739949568.0,0.0,0.0,1494515.0,1420441.0
30-09 13:16:40,11.620,5.710,75.963,0.0,0.0,6.707,8593989632.0,38617088.0,1535946752.0,26738667520.0,0.0,0.0,1875748.0,1760249.0
30-09 13:16:41,5.055,3.629,87.038,0.065,0.0,4.213,8594186240.0,38617088.0,1536430080.0,26737987584.0,0.0,14352384.0,1096653.0,1033466.0
30-09 13:16:42,7.400,4.977,81.991,0.0,0.0,5.632,8593555456.0,38625280.0,1536782336.0,26738257920.0,0.0,65536.0,1547730.0,1447493.0
30-09 13:16:43,8.767,5.933,78.312,0.0,0.0,6.987,8593309696.0,38625280.0,1537409024.0,26737876992.0,0.0,0.0,1988133.0,1838898.0
30-09 13:16:44,22.914,5.695,65.828,0.0,0.0,5.563,8592871424.0,38625280.0,1537986560.0,26737737728.0,0.0,0.0,1446719.0,1345959.0
30-09 13:16:45,11.769,4.941,76.983,0.0,0.0,6.307,8594849792.0,38625280.0,1529024512.0,26744721408.0,0.0,0.0,1420960.0,1338753.0
30-09 13:16:46,4.123,2.421,89.987,0.0,0.0,3.469,8594939904.0,38625280.0,1529454592.0,26744201216.0,0.0,0.0,962737.0,854837.0
30-09 13:16:47,4.967,3.444,87.417,0.0,0.0,4.172,8594726912.0,38633472.0,1529688064.0,26744172544.0,0.0,49152.0,1172951.0,1123120.0
30-09 13:16:48,28.846,6.565,58.886,0.0,0.0,5.703,8601755648.0,38633472.0,1530114048.0,26736717824.0,0.0,0.0,1292885.0,1158760.0
30-09 13:16:49,40.799,7.581,46.451,0.0,0.0,5.169,8637149184.0,38633472.0,1530556416.0,26700881920.0,0.0,0.0,1245827.0,1039303.0
30-09 13:16:50,7.748,3.480,84.307,0.0,0.0,4.465,8682397696.0,38633472.0,1531011072.0,26655178752.0,0.0,0.0,1210056.0,1131812.0
30-09 13:16:51,4.630,3.373,88.161,0.0,0.0,3.836,8703762432.0,38633472.0,1531305984.0,26633519104.0,0.0,0.0,1058817.0,1011500.0
30-09 13:16:52,8.097,5.003,81.040,0.0,0.0,5.859,8705474560.0,38641664.0,1531670528.0,26631434240.0,0.0,24576.0,1631572.0,1554861.0
30-09 13:16:53,6.605,4.690,83.223,0.0,0.0,5.482,8705769472.0,38641664.0,1532203008.0,26630606848.0,0.0,0.0,1490946.0,1411581.0
30-09 13:16:54,11.192,6.159,75.629,0.0,0.0,7.020,8705982464.0,38641664.0,1532796928.0,26629799936.0,0.0,0.0,1920966.0,1765560.0
30-09 13:16:55,5.844,4.202,86.014,0.0,0.0,3.940,8705912832.0,38641664.0,1533341696.0,26629324800.0,0.0,0.0,1244658.0,1156215.0
30-09 13:16:56,3.942,3.285,89.356,0.0,0.0,3.417,8705277952.0,38641664.0,1533603840.0,26629697536.0,0.0,0.0,974019.0,947409.0
30-09 13:16:57,10.361,4.947,79.211,0.0,0.0,5.481,8706195456.0,38649856.0,1533935616.0,26628440064.0,0.0,16384.0,1473926.0,1383384.0
30-09 13:16:58,5.243,2.742,88.648,0.0,0.0,3.367,8706416640.0,38649856.0,1534533632.0,26627620864.0,0.0,0.0,1312244.0,1170157.0
30-09 13:16:59,9.617,6.101,77.766,0.0,0.0,6.515,8707252224.0,38649856.0,1534758912.0,26626560000.0,0.0,0.0,1311191.0,1220693.0
30-09 13:17:00,3.268,2.288,91.503,0.0,0.0,2.941,8706371584.0,38649856.0,1535295488.0,26626904064.0,0.0,0.0,801867.0,756759.0
30-09 13:17:01,5.003,3.160,86.965,0.592,0.0,4.279,8706396160.0,38649856.0,1535430656.0,26626744320.0,0.0,9158656.0,1130320.0,1087570.0
30-09 13:17:02,9.565,6.794,76.913,0.0,0.0,6.728,8708239360.0,38658048.0,1535881216.0,26624442368.0,0.0,86016.0,2030254.0,1885350.0
30-09 13:17:03,6.069,3.892,85.356,0.0,0.0,4.683,8707960832.0,38658048.0,1536516096.0,26624086016.0,0.0,0.0,1291502.0,1220461.0
30-09 13:17:04,12.574,5.427,77.962,0.0,0.0,4.037,8706756608.0,38658048.0,1536823296.0,26624983040.0,0.0,0.0,1293239.0,1194791.0
30-09 13:17:05,18.997,5.017,71.839,0.0,0.0,4.147,8735657984.0,38658048.0,1537323008.0,26595581952.0,0.0,0.0,1310639.0,1211414.0
30-09 13:17:06,5.718,4.654,84.973,0.0,0.0,4.654,8740634624.0,38658048.0,1537728512.0,26590199808.0,0.0,0.0,1361436.0,1269993.0
30-09 13:17:07,12.053,5.563,76.490,0.0,0.0,5.894,8739520512.0,38666240.0,1538093056.0,26590941184.0,0.0,20480.0,1627110.0,1504948.0
30-09 13:17:08,36.494,9.004,50.068,0.0,0.0,4.434,8760152064.0,38666240.0,1538650112.0,26569752576.0,0.0,0.0,1245622.0,1055519.0
30-09 13:17:09,20.494,5.607,69.826,0.0,0.0,4.072,8825454592.0,38666240.0,1539080192.0,26504019968.0,0.0,0.0,1398357.0,1289590.0
30-09 13:17:10,15.451,4.509,76.194,0.0,0.0,3.846,8850493440.0,38666240.0,1539559424.0,26478501888.0,0.0,0.0,1284074.0,1193774.0
30-09 13:17:11,5.739,3.958,87.005,0.0,0.0,3.298,8851841024.0,38666240.0,1539903488.0,26476810240.0,0.0,0.0,1151863.0,1055137.0
30-09 13:17:12,5.456,4.059,86.361,0.0,0.0,4.125,8852004864.0,38674432.0,1540222976.0,26476318720.0,0.0,24576.0,1235874.0,1156866.0
30-09 13:17:13,9.952,6.203,78.391,0.0,0.0,5.453,8851816448.0,38674432.0,1540825088.0,26475905024.0,0.0,0.0,1818134.0,1707163.0
30-09 13:17:14,7.570,5.445,81.673,0.0,0.0,5.312,8852385792.0,38674432.0,1541357568.0,26474803200.0,0.0,0.0,1610245.0,1521695.0
30-09 13:17:15,7.564,5.689,81.861,0.0,0.0,4.886,8853041152.0,38674432.0,1541849088.0,26473656320.0,0.0,0.0,1685941.0,1590640.0
30-09 13:17:16,7.115,3.982,83.877,0.587,0.0,4.439,8852525056.0,38674432.0,1542287360.0,26473734144.0,0.0,6983680.0,1165531.0,1030363.0
30-09 13:17:17,9.483,5.902,78.714,0.0,0.0,5.902,8853585920.0,38682624.0,1542672384.0,26472280064.0,0.0,49152.0,1689376.0,1552247.0
30-09 13:17:18,8.061,4.397,83.478,0.0,0.0,4.064,8854134784.0,38682624.0,1543274496.0,26471129088.0,0.0,0.0,1473559.0,1404283.0
30-09 13:17:19,5.688,3.241,87.831,0.0,0.0,3.241,8853229568.0,38682624.0,1543708672.0,26471600128.0,0.0,0.0,990376.0,901558.0
30-09 13:17:20,5.615,4.278,85.628,0.0,0.0,4.479,8852840448.0,38682624.0,1544019968.0,26471677952.0,0.0,0.0,1326410.0,1252557.0
30-09 13:17:21,7.625,4.682,83.010,0.0,0.0,4.682,8853274624.0,38682624.0,1544466432.0,26470797312.0,0.0,0.0,1590498.0,1505620.0
30-09 13:17:22,3.750,2.697,90.526,0.0,0.0,3.026,8853946368.0,38690816.0,1544781824.0,26469801984.0,0.0,24576.0,880228.0,818455.0
30-09 13:17:23,12.884,5.607,76.903,0.0,0.0,4.606,8853577728.0,38690816.0,1545113600.0,26469838848.0,0.0,0.0,1401080.0,1292659.0
30-09 13:17:24,21.629,7.009,65.421,0.0,0.0,5.941,8887042048.0,38690816.0,1545732096.0,26435756032.0,0.0,0.0,1657334.0,1530117.0
30-09 13:17:25,7.100,4.889,83.724,0.0,0.0,4.287,8894468096.0,38690816.0,1546178560.0,26427883520.0,0.0,0.0,1521738.0,1430558.0
30-09 13:17:26,14.104,6.217,75.334,0.0,0.0,4.345,8893509632.0,38690816.0,1546719232.0,26428301312.0,0.0,0.0,1335474.0,1265801.0
30-09 13:17:27,17.068,5.756,72.825,0.0,0.0,4.351,8894824448.0,38699008.0,1547059200.0,26426638336.0,0.0,16384.0,1454298.0,1326378.0
30-09 13:17:28,24.244,6.985,63.465,0.0,0.0,5.306,8908521472.0,38699008.0,1547624448.0,26412376064.0,0.0,0.0,1563780.0,1418119.0
30-09 13:17:29,10.302,4.659,80.971,0.0,0.0,4.068,8927457280.0,38699008.0,1548132352.0,26392932352.0,0.0,0.0,1121292.0,1010562.0
30-09 13:17:30,20.776,5.194,70.151,0.0,0.0,3.879,8931459072.0,38699008.0,1548349440.0,26388713472.0,0.0,0.0,1074142.0,1027070.0
30-09 13:17:31,9.733,5.600,79.0,0.333,0.0,5.333,8935129088.0,38699008.0,1539362816.0,26394030080.0,0.0,6914048.0,1528509.0,1424547.0
30-09 13:17:32,2.859,2.599,92.398,0.0,0.0,2.144,8934404096.0,38707200.0,1539801088.0,26394308608.0,0.0,81920.0,681043.0,638696.0
30-09 13:17:33,5.797,2.564,88.629,0.0,0.0,3.010,8934248448.0,38707200.0,1540046848.0,26394218496.0,0.0,0.0,1109067.0,982501.0
30-09 13:17:34,9.370,6.139,78.433,0.0,0.0,6.058,8934735872.0,38707200.0,1540399104.0,26393378816.0,0.0,0.0,1569866.0,1441908.0
30-09 13:17:35,5.966,2.335,89.494,0.0,0.0,2.205,8935092224.0,38707200.0,1531969536.0,26401452032.0,0.0,0.0,748387.0,702895.0
30-09 13:17:36,3.844,2.651,91.252,0.0,0.0,2.253,8936148992.0,38707200.0,1531691008.0,26400673792.0,0.0,0.0,881479.0,845289.0
30-09 13:17:37,7.090,5.064,82.444,0.0,0.0,5.402,8935800832.0,38715392.0,1532096512.0,26400608256.0,0.0,53248.0,1631078.0,1481685.0
30-09 13:17:38,7.621,4.838,83.366,0.0,0.0,4.175,8935858176.0,38715392.0,1532485632.0,26400161792.0,0.0,0.0,1275054.0,1200996.0
30-09 13:17:39,9.805,5.037,79.987,0.0,0.0,5.171,8936267776.0,38715392.0,1532891136.0,26399346688.0,0.0,0.0,1617690.0,1455580.0
30-09 13:17:40,6.287,3.864,85.724,0.0,0.0,4.126,8935702528.0,38715392.0,1533497344.0,26399305728.0,0.0,0.0,1200552.0,1088169.0
30-09 13:17:41,7.297,4.054,84.527,0.0,0.0,4.122,8935817216.0,38715392.0,1533800448.0,26398887936.0,0.0,0.0,1297366.0,1236778.0
30-09 13:17:42,4.617,3.166,88.259,0.0,0.0,3.958,8935641088.0,38723584.0,1534066688.0,26398789632.0,0.0,20480.0,1090019.0,1020900.0
30-09 13:17:43,6.473,4.491,85.007,0.0,0.0,4.029,8935055360.0,38723584.0,1534443520.0,26398998528.0,0.0,0.0,1406695.0,1298712.0
30-09 13:17:44,8.547,4.471,82.249,0.0,0.0,4.734,8935485440.0,38723584.0,1534828544.0,26398183424.0,0.0,0.0,1420192.0,1312007.0
30-09 13:17:45,23.179,5.828,66.159,0.0,0.0,4.834,8940523520.0,38723584.0,1535447040.0,26392526848.0,0.0,0.0,1245607.0,1154052.0
30-09 13:17:46,6.649,4.854,85.106,0.066,0.0,3.324,8942440448.0,38723584.0,1535766528.0,26390290432.0,0.0,7491584.0,1310061.0,1241263.0
30-09 13:17:47,6.426,4.552,84.538,0.0,0.0,4.485,8941486080.0,38731776.0,1536212992.0,26390790144.0,0.0,57344.0,1420255.0,1334232.0
30-09 13:17:48,22.733,6.667,66.667,0.0,0.0,3.933,8944889856.0,38731776.0,1536729088.0,26386870272.0,0.0,0.0,1413353.0,1285858.0
30-09 13:17:49,12.358,6.212,75.752,0.0,0.0,5.678,8979656704.0,38731776.0,1537212416.0,26351620096.0,0.0,0.0,1726193.0,1575278.0
30-09 13:17:50,23.413,5.291,66.005,0.0,0.0,5.291,8988438528.0,38731776.0,1537818624.0,26342232064.0,0.0,0.0,1160285.0,1039682.0
30-09 13:17:51,6.576,5.078,84.115,0.0,0.0,4.232,8992935936.0,38731776.0,1538117632.0,26337435648.0,0.0,0.0,1150883.0,1042145.0
30-09 13:17:52,27.036,8.411,58.678,0.0,0.0,5.874,9009082368.0,38739968.0,1538527232.0,26320871424.0,0.0,24576.0,1715378.0,1496823.0
30-09 13:17:53,9.073,6.049,77.383,0.0,0.0,7.495,9060507648.0,38739968.0,1539145728.0,26268827648.0,0.0,0.0,1773137.0,1658304.0
30-09 13:17:54,8.156,4.576,82.361,0.0,0.0,4.907,9062920192.0,38739968.0,1539629056.0,26265931776.0,0.0,0.0,1371387.0,1275065.0
30-09 13:17:55,5.194,3.616,87.048,0.0,0.0,4.142,9063596032.0,38739968.0,1540014080.0,26264870912.0,0.0,0.0,1136897.0,1058324.0
30-09 13:17:56,4.575,2.549,90.065,0.0,0.0,2.810,9062789120.0,38739968.0,1540435968.0,26265255936.0,0.0,0.0,1002914.0,898565.0
30-09 13:17:57,8.917,4.425,81.836,0.0,0.0,4.822,9063866368.0,38748160.0,1540624384.0,26263982080.0,0.0,16384.0,1370393.0,1280211.0
30-09 13:17:58,7.205,4.736,82.789,0.0,0.0,5.270,9063477248.0,38748160.0,1541201920.0,26263793664.0,0.0,0.0,1573765.0,1478460.0
30-09 13:17:59,6.777,4.917,83.721,0.0,0.0,4.585,9063903232.0,38748160.0,1541648384.0,26262921216.0,0.0,0.0,1404040.0,1310062.0
30-09 13:18:00,8.048,4.628,82.830,0.0,0.0,4.494,9064468480.0,38748160.0,1542156288.0,26261848064.0,0.0,0.0,1364393.0,1231726.0
